stage,eye,glial,immune,mesenchyme,muscle,neural,olfactory,spinal_cord
  7-9,0,0,0,0,0,3.85,0,0
 14-21,0,0,0,0,0,0.84,0,0
 24-34,0,0,0,0,0,5.22,0,1.18
 36-46,0,0,0,0,0,2.59,0,0
 48-58,0,7.34,0,3.76,0.42,0.55,0,2.52
 60-70,0,0,0,0,1.49,3.69,0,1.23
 72-82,0,0,0,0,1.22,6.5,0,4.48
 84-94,0,1.87,0,0,0,0.85,0,0
 96-106,0,0,1.43,2.03,0,3.86,10.63,0
120,4.98,0,0,0,0,0,0,0
