stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,0,0
  7-9,0,0,9.37,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.27,13.08,0,0,3.9,0,0,0,0,0,0,0,0
 10-12,0,0,7.41,0,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,6.85,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,1.08,0.99,0,0,0,0,0,0,0,0,2.43,0,0,0,0,1.07,0,0,0,4.33,0,0,0,0,0,0.9,1.13,5.27,0,0,0,0
 24-34,0,0.67,0,3.27,0,6.47,0,0,0,0,0,0,0,8.53,0,0,0,0,5.02,0,0,0,29.56,0,0,0,0,0.87,1.72,0.6,3.69,0,0,0,0
 36-46,0,0,0,16.94,0.57,155.67,0,0,4.79,0,0,0,0,2.7,0,0,0,0,3.85,0.59,0,0.58,78.66,0,0,0,0,0,2.34,0,22.09,0,0,0,0
 48-58,0,0,0,1.21,0,445.09,0,0,27.25,0,0,0,0,0.94,0,0,6.39,0,0.87,0,0,0,74.94,0,0.91,0,0,0.41,1.08,0,9.65,0,0,2,0
 60-70,0,0,0,7.23,0,443.06,0,1.49,140.59,0,0,0,0,8.09,0,0,0,0,1.62,0.84,0,0,126.46,2.09,0,0,0,2.44,1.6,0,11.33,0,0.83,0,0
 72-82,0,0,0,1.11,0,140.3,0.66,0,118.97,0.82,0,0,5.65,1.25,1.23,0,0,0,9.2,0,0,0,53.36,0,0,0.5,0,1.44,0,0,3.57,0.8,0,0,0
 84-94,0,0,0,4.33,0,116.96,0,0,63.35,0.66,0.86,0,2.22,4.69,2.52,0,0,0,3.87,0,1.44,0,23.5,0,0,0,0,0.59,0.69,0,1.38,0,0,0,0
 96-106,0,0,0,1.65,0,104.57,0.58,0,108.35,0,0,0,0,1.99,0,0,0,0,2.34,1.66,0,0,37.99,0,1.97,0,0,1.93,0,0,0,5.51,0,0,0
108-118,0,0,0,3.79,0,121.53,1.9,0,104.06,1.44,0,0.69,0,2.9,0,0,0,3.65,3.71,0.77,0,0.47,36.71,0,0,0,0,1.84,0.89,0,0,1.42,0,0,0
120,0,0,0,18.87,0,91,0,0,81.99,3.34,0,0,0,3.52,0,4.94,0,0,5.51,3.01,2.76,0,21.54,0,0,1.47,0,0,0,0,0,4.7,0,1.35,3.44
