stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,82.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.85,289.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.36,8.61,0,16.57,0,0,0,34.51,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,172.52,15.09,0,0,108.6,0,14.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.56,0,19.71,0,0,0,16.51,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,230.39,6.19,0,0,98.92,0,9.34,0,0,0,3.24,0,0,0,0,0,0
 14-21,0,0,0,1.78,5.42,1.88,0,2.75,0,0,0.83,2.02,0,0,0,0,0,0,0,0,4.34,0,0,2.69,48.12,0,0,0,0.99,3.32,0,4.28,0,0,4.24,18.13,0,0,0,0,0
 24-34,0,0,0,1.2,5.19,0,0,18.78,0,0,3.84,0,0,0.92,0,0,0,0,1.14,0.65,13.5,0,0,2.44,209.46,0,2.14,0.9,0,18.03,0,0,0.97,0,2.59,32.95,0,0,7.7,0,0.63
 36-46,0,0,0,0,0.58,0,0,37.43,0.58,0,9.21,0,0,0,0,5.3,0,0,0.85,0,8.73,0,0,1.89,260.07,0,0,0,0,4.85,0,0,0,0,0,52.7,0,0,0,0,0
 48-58,0,0,0,0,4.5,1.69,0,66.9,1.38,0.81,13.64,0,0.54,0,0,0,0.39,0,0,0.59,15.78,0,0,8.66,274.55,0,0.73,2.85,0,2.26,0,0,0,0,0,70.9,0,0.64,0,0,0
 60-70,0,0,0,0,4.37,0,0,172.78,0,9.06,4.84,0,0,0,0,0,0,0,0,1.24,24.74,0,0,0.91,269.78,0,2.16,1.2,0,2.19,0,0,0,2.41,0,39.2,0,0,1.15,0,0
 72-82,0,0,1.26,0,5.18,9.5,1.04,124.09,0,2.61,17.18,0,0,0,4.78,0,0,0.5,0,0,40.49,1.31,0,9.49,228.81,0,9.87,0.61,0,3.62,0,0,0,0,0,55.26,0,0,8.96,2.86,3.64
 84-94,0,0,1.14,0,9.27,16.7,0,93.81,0,0.75,17.54,3.06,0,0,0.58,0,10.96,0,0,0.59,14.77,0,0,1.55,136.54,0,0.83,1.47,0,17.88,0,0,0,0,0,34.81,0,0,1.23,0,0
 96-106,0,0,0,0,11.39,7.35,0,80.22,3.79,0,12.19,0.71,0,0.68,1.28,1.14,0.59,0,7.69,0,29.99,5.83,1.37,2.28,163.79,0,3.38,3.2,0,15.62,0,0,0,0,0,2.65,6.2,0,7.43,0,14.08
108-118,0,0,0.8,0,7.94,3.55,0.45,97.82,0,1.09,17.6,0.65,0,0,4.59,0.75,0.52,1.66,0,1.43,31.72,0,2.49,0.97,166.2,0.69,0,2.07,0,4.39,0,0,0.47,0.42,0,8.74,0,0,5.81,1.76,5.14
120,0,0,3.29,0,5.36,0,11.55,105.89,0,0,12.93,6.22,0,0,4.19,0,3.73,0,0,0,67.92,2.91,0,1.81,264.97,1.08,1.26,0,0,10.76,0,0,9.01,0,0,4.81,1.94,0,3.65,0,0
