stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.65,0,0,0,0,0,0,0,7.77,0,0,0,0
 14-21,0,0,0.82,2.53,1.04,0,0,1.1,0,0,0,0,0,0,2.6,0,12.94,1.09,0,0,16.53,1.55,0,0.89,0,6.68,0,15.11,9.66,3.72,0,1.1,0
 24-34,0,0,0.81,0,0,0,0.63,0.66,0,0.81,0,4.71,0,0,7.44,0,2.27,0,0,4.78,3.5,0,0.74,0,0,0,0,1.01,4.71,6.97,0,9.1,0
 36-46,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,5.11,0,0,4.49,26.18,0,0,0,0,0,0.58,0,0.74,0,0,4.03,0
 48-58,0,0,0,0,3.5,0,0,5.14,0,1.51,0,0,4.16,0,0,0,2.13,0,0.41,0,14.61,0,0,0,0,0,0,0,0,5.94,0,16.79,0
 60-70,0,0,0,5.88,0,0,0,5.26,0,0.88,0,0,4.03,0,0,0,7.7,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,24.18,0
 72-82,0,0.58,0.58,2.52,7.56,0,0,4.62,0,0,0,0,3.28,1.53,0,0,9.99,0,0,1.17,8.77,0,0,0,0,0,0,0,0,0,0.97,72.05,0
 84-94,0,0,0,0,4.66,0.57,0,2.57,0,0,0,0,6.46,1.52,0,0,3.66,0,1.37,0.84,10.49,1,0,0,0,0,0,0,0,0,0,104.11,0
 96-106,0,1.28,4.55,18.41,6.38,0,0,3.49,0,0,0,0,4.15,0,0,0,12.83,0,0,0,11.25,0,0,0,1.32,0,0,0,0,0,4.98,132.84,1.58
108-118,0,0,0,4.39,1.18,0,0,9.17,0.52,0,0,0.63,7.42,0,0.6,0.59,8.63,0,0,0,13.28,0.95,0,0,7.73,0,0.58,0,0,0,0.6,137.49,1.62
120,0,0,0,0,2.43,0,0,0,1.74,0,3.07,0,3.27,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6.77,181.71,0
