stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,51.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.29,0,0,0,6.23,0,3.07,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.04,4.95,0,0,2.1,0,0,0,1.53,0.85,0,0,5.69,0,0,0,0,0,0,0,16.32,0,0,0,0,0,1.55,1.84,0,3.36,3.57,0,0,2.31,0,0
 24-34,0,0,0,0,0,0,3.72,0,0,0,2.03,0,0,0.6,6.7,0,0.86,8.68,2.5,0,0,0,66.28,0,0,0,0,0,9.38,0,0.84,1.73,15.22,0,0,1.19,0,3.86
 36-46,0,0,0,15.62,1.57,0,4.51,0,0,0,4.74,0,0.56,0,0,0,0,0,11.1,0,0,0,62.1,0,0,0.76,0,0,4.74,0,0,0,14.48,0,0,0,0,4.31
 48-58,0,0,0,6.96,0,0,14.57,0,0,0,10.26,0.43,0.45,0.43,0,0.44,0,6.68,25.81,0.65,1.06,0.39,67.54,0,0.44,0,0,0,7.55,0,0,0,22.3,0,0,0,0,0.83
 60-70,0,0,0,3.52,0,0,51.48,0,1.15,0,3.01,0,0,0,0,0,0,2.31,12.15,0,0,7.57,93.98,0,0,0,0,0,4.07,0,0,0,9.78,0,0,3.04,0,7.21
 72-82,0,0,0,2.54,0.55,0,40.55,0,0,2.27,13.46,0.51,0,0.55,0.63,0,0,0,19,0.96,0,0.94,105.84,0.82,2.89,0,0,0,6.08,0,0,0,23.17,0,0,5.61,0,0
 84-94,0,0,0,2.24,3.72,0,75.59,0,0,0,9.45,1.68,0,0,1.55,0,2.93,0,17.38,0,8.61,0.71,35.32,0,0,0,0,0,6.96,0,1.28,0,1.83,3.28,0,0,0,0
 96-106,0,1.11,0,0,0.99,0,14.76,0.68,0.91,1.14,14.98,0,0,2.13,0.77,0.84,0,0,24.07,0,0,0,43.72,0,1.31,1.36,0,1.37,5.6,0,0,0,0.67,0.83,2.45,0.67,2.42,0
108-118,0,0,0,1.2,2.61,0.46,27.79,0,0,0,5.07,5.35,0,0.64,3.33,0,0,0,10.85,0,0,0,54.98,0.77,2.77,0.48,0,0,1.67,0,0,0,0,0.69,0,1.07,0,0.59
120,0,0,0,4.93,0,0,28.87,0,0,0,7.72,2.27,1.54,9.8,2.9,0,0,0,24.58,0,0,0,82.97,0,1.11,0,0,0,2.27,0,0,0,6.95,1.94,3.24,4.78,0,0
