stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,22.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.04,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,61.23,8.21,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0.92,0,0,0,1.31,0,2.72,0,0,0,0
 24-34,0,0,1.38,0,0.68,0,0,0,0,0,0,1.2,0,0,9.77,1.43,0,0,0,0.73,3.22,0,0,0,0
 36-46,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.77,0,4,0,0,9.49,0,0,0,0,0,0,0,0.73,0,0
 60-70,0,0,3.51,0,1.43,1.28,0,0,0,0,0,2.36,0,0,6.27,0.83,0,0,0,0,0,0.57,0,0.71,0
 72-82,0,0,0,0,0,0,0.6,0,2.07,0,0,3.68,1.07,0,2.38,0.53,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.61,0,0,0,7.67,0,0,4.96,0,0,0,0,0,0,0,0,0,2.42
 96-106,0,0,0,0,1.1,0,1.84,0,0,0,0.82,3.34,0,0,5.92,0,1.18,0,0,0,0,0,6.92,0.74,0
108-118,0,0,0,0.98,0,0.52,3.88,0,0,0,0,4.2,0.92,0,5.22,0,0,0,0,0,0,0,0.68,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.37,0,2.95,26.91,0,0,0,0,6.77,0,0,0,16.23,0
