stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,32.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,27.97,6.26,0,71.67,0,0,5.36,0,0,0,0,0,25.58,0,0,0,0,0,0,0,0,0,0,0,117.23,15.24,0,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,67.37,0,210.02,0,0,26.31,0,0,0,0,0,14.27,0,0,0,0,0,0,0,0,0,0,0,487.41,8.78,0,0,249.39,0,0,0,0,27.8,0,0,4.47,0,0,0,0,0
 14-21,0,0,0,24.98,153.37,25.02,16.94,0,0,0,39.21,22.95,3.22,4.24,4.61,0,0,0,0,5.63,145.24,0,0,116.17,306.62,2.51,1.9,3.31,29.45,0,0,0,36.67,5.45,6.93,50.49,417.1,0,0,8.86,0,14.78
 24-34,1.76,0,3.52,0.67,60.85,1.44,10.56,0,25.09,3.61,21.8,2.51,0,5.72,4.73,0.93,4.85,0,5.85,74.43,215.9,0,2.21,98.22,178.96,0,3.88,2.71,0,0,0,0,1.1,5.06,5.04,7.48,157.33,0,0,39.38,0,61.6
 36-46,0,0,0,0,42.5,0,6.58,3.09,18.46,2.59,9.73,0,0,6.17,1.43,0,10.18,0.66,0,58.03,245.23,0,3.36,38.77,110.39,0,1.83,0,0,0,0,0.73,0,19.07,7.34,0,105.72,0,0,20.16,0,143.86
 48-58,0,0,0,0,62.72,0,19.85,3.12,11.45,12.69,11.61,0,0,6.06,16.01,0.46,15.8,0.73,0,50.88,356.94,0,12.21,38.56,171.06,0,0,3.7,0,0.56,4.53,0,0,0,9.85,0,60.42,0,2.99,6.85,0.78,92.99
 60-70,0,0,0.62,0,38.15,0,19.21,1.87,37.14,16.72,26.12,0,0,3.59,7.93,0,46.18,1.26,1.2,29.39,487.6,0,21.27,22.35,376.78,0,0,0,0,4.55,0,0,0,0,7.75,0,67.27,0,26.57,6.98,6.9,125.7
 72-82,0,0,0.88,0,23.06,0.84,112.84,2.98,22.5,14.06,28.17,0,0,5.11,22.16,2.93,44.91,4.15,0,26.59,883.55,0.58,46.45,43.88,667.77,0,0,0.99,0,26.16,1.76,0,0,1.99,3.93,0,57.62,0,30.78,6.6,39.53,146.38
 84-94,0,0,0,0,42.56,1.33,73.02,3.48,39.82,20.26,41.31,2.63,0,2.19,24.58,3.13,36.92,0.66,1.81,18.94,652.86,1.21,58.71,34.56,402.28,0.67,2.84,5.83,0,9.65,4.98,0,0,0,2.57,0,25.73,0.83,25.32,21.98,36.51,106.5
 96-106,0,0,0,0,55.01,14.44,53.61,5.64,19.7,21.15,30.59,8.03,0,3.77,32.71,0,67.69,0,0,16.08,594.48,3.31,22.1,26.4,389.16,0,4.19,6.02,0,35.6,0,0,0,0,0.6,0,24.71,0.83,31.25,5.87,43.87,65.89
108-118,0,0,0,0,61.02,1.18,39.62,1.27,37.57,10.96,27.06,0.61,0,1.01,25.48,2.05,72.2,0,0,49.45,744.42,0,19.55,29,502.3,0.44,0.86,6.45,0,19.64,0.93,0,0,0,3.69,0,9.81,0,19.3,25.79,35.17,71.34
120,0,0,0,0,26.94,3.81,36.36,0,38.25,5.13,49.07,0,0,0,48.19,0,44.33,3.95,9.16,10.85,389.64,0,26.59,22.11,505,0,0,0,0,23.76,0,0,0,6.22,0,0,43.95,0,9.71,37.74,5.3,19.1
