stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,367.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.7,708.56,0,0,0,0,0,0,0,0,0,0,20.05,0,0,0,0,0,0,0,0,0
  7-9,0,13.61,0,0,0,17.6,0,5.88,0,0,0,0,164.75,0,35.26,0,0,0,0,0,0,0
 10-12,0,0,6.02,0,0,7.02,0,0,0,0,0,0,43.42,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.42,0.81,0,0,0,0,0,0.97,0,3.76,0.94,0,0,1.02,1.9,1.06,0,0,0
 24-34,0,0,0,0.68,0,0,0.99,0,0,0,0.62,0,3.37,0,0,0,0,0,0,1.61,0.6,0
 36-46,0,0,0,0,0,2.18,1,0,0,0,0,0.73,6.12,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.18,0,0,0,0,0.4,0,3.23,0,0,0,0,0,0,0,0,0.83
 60-70,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,2.75,0,0,0.81,0,0
 72-82,0,0,0,0,0,6.21,0,0,0,0,2.65,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0.83,0.75,3.16,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.06,0,0,0.88,0,0.97,0,0,0,0,0,0,0,0,0,2.1,0
108-118,0,0,0,0,0,0,0,0,0,0.88,0.92,0.48,0,0,0,1.52,0.64,0,0,0,0.7,0
120,0,0,0,0,0,1.69,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,0,0
