stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,154.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,17.44,0,0,0,0,53.3,0,0,0,0,0,17.18,0,0,0,0,0,0,0,0,0,0,0,234.72,0,0,0,93.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.89,3.45,0,0,0,35.72,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,138.55,18.18,0,0,75.51,0,0,16.55,0,14.53,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,1.86,1.9,0,10.53,0,1.07,0,1.18,0,0,0,0,0,0,0,0,0,4.44,0,0,9.16,47.79,1.08,0,0,0,0,0.85,0,6.29,0,3.09,27.78,6.51,0,0,0.87,0,0
 24-34,0,0,0,2.93,0,0,3.44,0,0,0,0,1.59,0,3.13,0,2.85,0,0.63,0,0,9.04,0,0,6.47,17.06,0.68,1.56,0,0,0,8.81,0,0,3.03,0,0.62,8.38,0,0,7.03,0,0
 36-46,0,0,0,2.51,0,0,0.78,1.21,0,0.62,0.64,0.56,0,0,0,0,0,0,0,0,28.06,0.59,1.12,4.09,46.26,3.23,1.19,0,0,0,21.76,0,0,0,0,0,13.68,0,0,6.57,0,0
 48-58,1.15,0,0,4.09,0,0,15.86,0,0.38,0,4.36,0.49,0.93,0,0.52,0,3.16,0,0,1.12,17.26,0.5,1.7,1.89,27.86,0.91,3.9,0,0,0,6.25,0,0,1.31,2.76,0,11.98,0,0,2.47,0,0.85
 60-70,0,0,0,1.73,0.57,0,71.49,0,0,0,8.79,0,4,0,1.74,0,0,0.63,0,0,28.39,1.46,0,0.72,108.03,0,4.14,0,0,0,13.47,0,0,0,0,0,35.75,0,1.31,0,0,6.7
 72-82,0,0,0,0,8.86,0,80.99,0,3.22,0.59,29.61,0.56,0,1.32,0,0.72,0,3.75,0,1.32,60.33,0,1.4,1.98,160.51,0,11.06,1.65,0,0,1.18,0,0,0,1.5,0,55.56,0,0.93,7.1,0,0
 84-94,0,0,0,5.63,21.17,0,95.87,0,1.29,5.74,36.52,3.02,1.85,0,3.42,0.89,3.84,0.66,0,0,87.01,1.51,0,4.36,133.51,0,9.95,2.15,0,0,6.48,0,0,1.54,0.61,0,23.19,1.5,1.17,4.09,2.65,0.59
 96-106,0,0,0,14.95,20.56,0,151.85,3.73,0.71,6.83,73.72,3.61,0,0,1.74,0,3.2,2.2,4.37,2.83,79.47,0,1.06,2.96,186.12,1.15,12.4,1.54,0,6.61,7.18,0,0,0.78,0,0,42.01,0.66,1.5,3.41,2.24,0.72
108-118,0,0,0,11.19,21.34,3.7,217.81,3.51,1.58,0.59,112.1,7.27,0,1.86,1.95,4.96,11.78,2.1,1.95,4.25,133.45,2.91,6.79,6.17,329.29,8.12,6.07,2.46,0,3.9,10.04,0,0,0.87,1.28,0,45.7,1.37,4.25,22.97,1.26,4.94
120,0,0,0,35.12,8.75,0,137.68,3.08,2.13,2.9,76.52,4.8,0,0,2.34,4.93,0,0,0,0,127.77,0,0,5.35,564.13,13.3,23.5,2.59,0,6.29,11.46,0,0,1.13,0,0,5.78,8.91,4.13,33.71,0,0
