stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,29.63,1031.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.58,0,0,0,0,0,0,0
  5-6,61.71,436.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,37.54,0,0,0,0,0,0,0
  7-9,0,0,0,5.18,0,0,0,8.05,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,84.47,12.45,0,0,8.88,0,0,0,0,0,0,0,0
 10-12,0,20.45,0,6.38,0,0,0,7.15,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,355.85,9.79,0,0,37.16,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12.72,2.09,0,7.33,0,1.19,0,195.48,1.41,0.89,0,0,0.84,1.33,0,6.35,0,0,199.79,16.16,9.21,25.56,11.03,0,15.01,127.16,8.24,437.81,0,0,0
 24-34,0,0,0,1.21,2.13,0,0,2.05,0,0,0.83,155.23,0,0,0,0.9,0,8.18,0,9.93,0,1.07,116.66,0,69.44,7.05,0,4.95,0,71.17,2.28,310.54,0,0,0
 36-46,0,0,0,0,5.31,0,0,2.09,0,0,0.65,105.66,0,0,0,0,0,3.63,0,0.95,0,1.12,156.25,0,54.06,5.47,0,0,0,71.89,0,229.16,0,0,0
 48-58,0,0,0,0,1.7,0,0,14.21,0,0,0,93.45,0,0,0,0,0,4.23,1.54,2.07,0,0,65.43,0,34.79,7.95,0,0,0,32.1,0,214.23,0,0,0
 60-70,0,0,0.62,0,5,0,0,1.35,0,0,0,116.79,0.62,0,0,0,0,1.62,0,0.75,0,0,47.77,0,28.33,2.22,0,0,0,8.49,0,92.28,0,0,0
 72-82,0,0,9.27,0,0.99,0,0,8.96,0,0,0,119.85,3.18,0.65,0,0,0.53,7.53,2.79,1.68,0,0,66.8,0,49.26,15.54,0,0,0,14.24,0,55.08,0,0,2.06
 84-94,0,0,2.88,2.04,0.87,0,0,14.96,0,0,0,73.73,1.57,3.57,0,0.62,1.41,7.46,0,1.59,0.59,0.69,38.79,0,60.25,16.6,0,0.92,0,19.06,0,64.5,0,0,0
 96-106,0,0,1.41,1.44,7.71,0.66,0,10.28,0.95,0,0,83.05,6.35,0,0,0.64,1.64,13.36,0,0,0,0.8,13.02,0,71.79,16.3,0,0,0,8.92,0,43.58,2.04,1.6,0
108-118,0,0,11.83,4.46,7.54,0.53,0.56,5.15,0,0,0,88.84,0.82,0,1.1,0.64,2.48,6.74,0,1.24,0,3.21,37.38,0,77.66,17.43,0,0,0,13.32,0,33.04,0,0,0
120,0,0,0,0,1.97,0,0,1.53,0,0,0,75.61,0,0,0,1.51,2.19,13.63,0,0,0,0,75.65,0,33.81,32.94,0,0,0,6.16,0,21.75,0,0,0
