stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5.08,217.68,4.12,0,37.48,0,0,0,23.44,7.17,0,0,0,5.08,0,0,0,0,34.23,0,0,20.68,564,8.73,4.29,11.27,3.56,0,54.66,0,26.89,2.59,2.26,58.69,263.96,0,0,1.06,0,1.85
 24-34,2.26,4.41,105.86,1.49,0,83.65,0,9.17,0.69,92.3,0.85,0,9.23,0,0.99,0,6.98,0.74,5.21,96.06,2.45,0,43.46,2855.09,3.95,14.54,13.2,0,0,102.84,0,0,6.18,0,20.34,940.29,0,0,17.75,0,9.31
 36-46,0,1.75,79.91,1.22,0,270.48,0,8.66,4.68,186.18,0.67,0.76,6.49,1.69,2.9,0.61,2.08,17.89,4.67,148.51,0.59,2.64,46.19,3480.76,3.48,8.34,3.17,0,0,113.93,0,0,4.94,1.56,0,1655.55,0,0,23.49,0,14.06
 48-58,0,0,29.62,5.03,0,446.65,3.28,7.27,4.95,283.35,0,0.37,0.82,1.88,1.79,1.42,4.45,5.23,14.57,180.92,3.62,3.22,44.9,1801.37,8.09,4.62,9.86,0,0.56,76.49,0,0,0.53,0,0,1100.32,0,1.59,16.11,0,44.27
 60-70,1.48,0,63,0,0,606.37,3.58,3.32,9.72,179.2,4.37,0.97,0.7,3.12,4.19,12.51,9.17,0,7.07,217.62,1.7,0.64,50.23,1324.83,14.54,8.96,14.16,0,1.19,140.97,0,0,5.03,1.34,0,473.54,0,5.44,8.42,0.59,32.17
 72-82,2.26,0,58.21,2.06,0,424.09,1.04,3.84,12.53,193.49,3.8,0,7.18,6.45,1.66,1.66,11.08,5.24,23.7,369.15,3.13,8.96,33.76,992.62,0.67,6.95,7.45,0,1.12,88.11,0,0,4.27,2.89,0,200.3,3.43,3.1,27.31,5.79,26.66
 84-94,4.51,0,63.9,0,0.92,345.15,0,14.08,9.66,181.43,12.2,1.23,5.46,9.04,9.24,2.06,23.11,0,18.22,276.34,8.32,7.75,25.96,630.12,8.29,17.01,15.63,0,0,281.93,0,0,1.74,0,0,117.7,9.76,12.45,29.08,9.06,25.32
 96-106,1.07,0.64,100.2,16.26,1.59,349.52,0,12.24,2.47,187.53,14.19,0,8.93,15.03,7.65,10.55,10.29,4.46,9.63,298.38,8.28,4.95,30.66,666.97,3.02,21.94,20.43,0,7.66,248.18,2.06,0,0.59,0,0,65.67,8.59,9.94,40.54,11.32,8.17
108-118,0.93,0,136.4,27.47,9.72,367.23,0.95,8.06,4.09,189.36,12.51,0,2.64,13.36,3.2,17.73,13.14,0.52,22.02,361.93,12.31,11.24,37.92,777.5,1.15,13.37,21.51,0,5.68,221.65,0,0,3.42,1.83,0,101.19,13.53,5.66,10.59,3.09,36.72
120,0,0,122.66,5.92,0,321.43,3,21.53,1.44,161.19,19.42,0,0,30.95,6.1,14.67,19.71,3.42,10.76,420.79,1.05,4.68,42.86,1156.53,1.18,17.04,12.76,0,5.9,168.08,0,1.12,9.59,0,0,59.79,2.38,13,26.51,45.83,24.18
