stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.53,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,1.15,0,0,0,0,0.83,0,0.84,0,0.93,0.95,0,0,0,0,0
 24-34,0,2.42,0.62,0,0,0,0,0,0,0,0,0,0,2.1,0,0,2.83,4.52,0,0,0,0,15.42,0,0.71,0,0,3.06,0,0,11.86,0,0
 36-46,0,3.09,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0.88,0,1.91,0,0,0,0,18.14,0,0,0,0,0,0,0,4.43,0,0
 48-58,0,0,0,0.56,0,0.44,1.55,0,0.59,1.98,0.38,0,0,6.45,0,0.44,0.59,12.93,0,0,0,0,10.6,0,0,0,0,2.16,0,0,2.05,0,4.44
 60-70,0,5.57,0.67,6.38,0,0,0,0,0.75,0.98,0,0,1.24,30.89,0,0.63,4.43,25.33,0,0,0.57,0,6.65,0,0,1.54,0,1.82,0,0.9,0.63,0,8.5
 72-82,0,6.41,0,4.12,2.44,2.31,0,2.43,0.58,0.66,0.53,0,0,10.93,0,0.51,0.96,1.72,4.93,0,0,1.4,3.96,0,0,0,0,0,0,0,9.09,0,5.98
 84-94,0,1,0,4.23,0,0.67,2.73,0,0,1.05,0,0,1.36,9.07,0.57,0,0.57,3.93,0,0,0,1.68,15.35,0,0,0,0,0,1.5,0.68,11.86,0,0
 96-106,0,7,0,9.75,0.82,2.04,0.61,0,0,2.89,0,0,0,11.05,0,0.66,0.93,9.78,0,0.59,0,0,9.88,0,0,0,0,1.89,0,1.87,8.32,0,0.9
108-118,0,5.99,0,4.01,0.42,0,4.71,1.31,0.71,3.76,0,0,0,12.24,0,4.08,0,9.36,0.92,0,0,0,8.03,0.42,0,0.42,0,0,0.6,0,14.44,0,0.91
120,0,16.72,0,0,0,0,0,0,4.21,14.51,0,6.89,1.6,5.57,3.01,5.31,0,0,0,1.7,0,7.06,9.92,0,0,0,0,0,2.39,0,10.29,1.93,0
