stage,axial,blastomeres,neural,notochord,paraxial.mesoderm
  3-4,0,9.46,0,0,0
  5-6,0,27.4,0,0,10.04
  7-9,4.24,0,3.75,6.31,4.28
 10-12,0,0,32.16,0,4.38
 60-70,0,0,1.09,0,0
120,0,0,15.55,0,0
