stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle
  3-4,31.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0
  7-9,4.57,0,0,7.83,0,0,0,0,5.46,0,0,0,0,0,0,79.84,0,7.54,0,0,0,0
 10-12,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.93,0,12.01,0,6.54,15.11,0
 14-21,0,11.03,0.87,0,0,0,13.17,0,0,0,0,0,0,0,1.36,148.05,0,0.89,1.88,0,77.72,0
 24-34,0,6.24,0,0,0,0,14.37,0,0,0,0,0,0,0,0,123.76,0,0,5.63,0,35.27,0
 36-46,0,16.92,0,0.89,0,3.68,14.45,0,0,0,0,0.6,0,0,0,32.76,0,0,17.21,0,29.94,0
 48-58,0,13.62,0,0,0,4.15,5.13,0,0,0,0,0.41,0,0,0,22.54,0,0,27.71,0,12.12,0
 60-70,0,22.29,0,0,0,10.01,3.61,0,0,0,0.61,0.63,0,0,0,9.91,0,0,17.35,0,3.29,0
 72-82,0,4.88,0,0.91,0,2.74,11.68,0,0,0,0,0.6,0,0,0,25.88,2.25,0,14.56,0,0.82,0
 84-94,0,21.72,1.05,0,0,7.21,21.15,0.6,0,0,0,4.27,0,0.6,0,3.74,3.55,0,48.2,0,3.89,0
 96-106,0,28.37,0,0,0,10.14,19.04,0,0,0,1.98,3.35,1.23,0,0,24.86,7.53,0,64.97,0,0,0
108-118,0,21.87,0,1.39,0.76,12.33,14.71,0.76,0,0,0.52,6,3.67,0,0,2.78,0.52,0,52.19,0,0,1.16
120,0,41.31,0,0,0,1.01,25.86,1.88,0,4.88,1.4,0,7.47,0,0,2.7,4.87,0,23.64,0,8.69,0
