stage,endocrine.pancreas,erythrocytes,eye,fin.mesenchyme,glial,gut,mesenchyme,mural.cell,muscle,neural,presomitic.mesoderm,spinal.cord,taste,vasculature
 14-21,0,0.94,0,0,0,0,0,0,0,0,0.91,0,0,0
 24-34,0,0,0,0,0,0,0.71,0,2.1,4.61,0,0,0,1.44
 36-46,0,0,0,0,2.74,0,3.02,0,1.29,11.26,0,2,0,0
 48-58,0,0,0,0,0,0,2.15,0,0,25.27,0,0.92,0,0
 60-70,0,0,10.52,1.81,0,0,2.14,0,0,17.8,0,9.24,0,1.09
 72-82,0,0,0,0.92,0,0,8.67,1.14,0,4.9,0,0,0,0
 84-94,0.8,0,7.43,0,0,0.84,12.84,0,1,3.75,0,0,3.4,0
 96-106,0,0,10.55,0,0,0,1.11,0,0.62,1.77,0,0,0,0.69
108-118,0.58,0,0,0,0,0,4.85,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,11.58,0,0,1.84,5.77
