stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,1.37,31.49,0,0,0,0,4.68,2.05,0,0,2.31,7.23,0,0,0,0,0
 24-34,0.79,9.34,2.17,0,6.56,0,0,0,1.3,0,0,0,0,0,0,0.65,0,9.52,0,0,5.36,104.98,6.1,0,0.88,0,23.63,0,0,0.66,3.39,9.31,0,0,1.15,0,0
 36-46,0,5.15,0,0,20.81,3.04,8.45,0,3.27,0.72,1.84,0,0,0,0,0,0,20.25,0,0,1.95,127.05,5.39,0,0,0,37.5,0,0,0,0,26.6,0,0,13.43,0,12.59
 48-58,0,11.34,0,0,20.45,9.27,4.85,0,2.88,0,0.58,0,0,2.34,0,0,0.56,8.86,0,0,1.07,88.85,1.91,0,0,0,23.67,0,0,1.78,0,19.09,0,0,2.62,0,0
 60-70,0,35.54,4.68,0,88.5,0.59,2.35,0,31.94,0.85,0,6.94,1.02,0.82,1.02,1.37,5.25,44.95,0,4.03,4.95,135.06,3.96,0,0,0,21.13,0,0.93,9.45,0,26.35,0,0,2.95,0,8.71
 72-82,0,7.19,6.34,1.65,88.06,0.96,1.07,0,24.83,0,1.45,0,0,3.14,0,0.88,0,56.06,7.07,8.32,5.78,116.56,0.52,0,3.29,0,9.32,0,0,0,0,9.69,0,0.52,3.76,5.17,9.83
 84-94,0,18.25,6.2,1.52,83.6,0,2.71,0,7.29,3.49,0,0.68,0,4.85,0,2.07,0,32.07,1.19,4.01,2.24,73.78,0,0,0,0,56.71,0,1.26,0,0,9.99,0,0.75,2.25,0,7.62
 96-106,0,5.04,0.56,0,28.4,0,2.3,0,35.63,7.74,0,0,1.79,4.79,1.7,0,0,18.31,2.78,0,1.51,35.28,0,2,0,1.11,28.06,0,0.79,0,0,9.83,1.81,0,0,1.03,0.75
108-118,0,26.7,0,18.86,41.15,0.43,2.24,5.28,9.37,4.18,1.62,3.14,1.88,1.51,0.52,0.55,2.01,40.66,0,1.56,6.32,46.24,0,2.1,6.87,0,25.94,0,2.89,1.75,0,2.17,1.21,0,15.21,0,1.22
120,0,50.36,7.38,7.19,70.55,1.95,4.09,21.28,61.42,12.57,4.06,5.75,5.07,0,0,1.28,1.45,84.2,0,3.51,10.53,195.13,3.11,10.94,5.36,0,42.17,0,0,2.35,0,7.84,0,0,1.41,0,3.14
