stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0,0,0
  5-6,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0
  7-9,4.85,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,7.59,0,0,3.98,0,36.8,0,0,0,0,0,0,0,0
 10-12,16.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.8,0,0,0,18.43,0,136.72,0,22.3,0,0,0,0,0,0
 14-21,0,0,0,27.81,0,0,1.61,0,0,0,0.82,0,0,0,0,113.99,0,0,0,0,2.98,11.07,0,0,30.43,0,0,0,0,0,1308.71,1.12,0,0,0,0,0,0,0
 24-34,0,0,0,22.87,0,0,13.72,0,1.9,0,0,2.81,0.73,0.98,0.6,275.26,0,0,7.39,0,12.19,59.39,0,3.04,197.12,0.62,10.15,0.6,0,0,2085.47,0,5.37,9.21,0,0,1.04,0,0
 36-46,0,0,0,17.77,0,0,23.23,0.67,2.66,0,7,5.26,0,0,0,157.37,0,2.36,6.31,0,4.98,64.29,0,1.99,505.12,0.72,8.34,1.47,0,0,2727.19,0,2.57,18.08,0,0,2.98,0,1.64
 48-58,0,0,0,34.97,0.6,0,35.26,0,28.45,2.36,6.14,2.29,38.5,0,0,58.34,0,0,2.36,0,9.11,60.26,0.44,2.23,312.28,0,12.05,0,0,0,2437.24,0,2.33,16.02,0,0,0,0,0
 60-70,0,0,0,49.41,10.02,0,28.19,0,36.27,0,17.97,3.06,80.52,0,0,92.4,0,0,0,10.04,8.1,59.06,0,0.92,170.87,0,28.18,0,0,0,2404.83,0,5.03,9.16,4.43,0,2.8,0,7.94
 72-82,0,0,0,83.03,3.43,0,51.64,0,32.18,0,5.96,11.28,40.79,0.89,2.32,141.81,0,11.16,3.81,0.49,19.74,102.43,6.94,1.43,233.45,0,14.76,1.09,0,0,1969.8,0,0.72,3.98,36.14,0,18.79,5.47,0
 84-94,0,0.56,0,192.3,0.66,0,27.49,0,92.83,0,3.01,32.35,43.78,0,2.14,262.63,0,5.34,0,0,15.51,143.07,0,2.74,190.22,0,51.27,1.2,0,2.68,5565.75,0,18.38,18.59,130.9,1.17,25.22,0,2.73
 96-106,0,0.7,0,475.89,29.78,0.63,75.63,0,115.16,0,20.15,101.07,5.82,0,2.39,343.39,0,30.45,5.55,0,27.64,259.64,2.42,4.05,298.01,0,89.13,0,0,1.57,4571.83,0,1.97,0,230.31,3.53,8.89,0.91,6.12
108-118,0,0,1.53,407.82,0.76,0,29.64,0.54,154.38,0.9,5.59,178.44,2.74,0,10.89,319.27,0.79,62.69,14.26,0,22.75,162.94,1,3.75,429.11,0.44,73.95,0,0,12.96,3927.89,0,16.96,0,304.53,2.69,16.9,1.81,8.42
120,0,0,0,453.09,17.24,1.6,6.82,0,76.5,0,5.13,121.26,5.2,0,11.94,237.79,0,33.24,7.66,0,13.23,95.69,17.45,0,759.75,4.62,54.91,0,0,0,2310.95,0,5.34,0,119.77,0,0,0,13.34
