stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,10.2,314.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0,0,0
  5-6,27.8,201.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.76,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,48.12,0,0,0,20.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.14,0,0,0,11.27,0,0,0,13.59,0,0,0,0,0,0
 14-21,0,0,0,0.82,0,0,0.98,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0.95,32.7,0,0,3.46,0.83,0,0,8.14,1.44,0,3.68,10.68,0,0,0
 24-34,0,0,0.66,0,0,0,4.34,0.68,0,1.27,0,0.75,0,0,0.6,0,0,0.74,0,0,0,15.98,0,1.95,0.82,0,0,0,0,1.16,0,1.32,6.57,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1,0,0,5.3,0,0,0,0,0.59,0,0,1.1,19.17,0,0.87,0,0,0,0,0,0,0,0.83,8.52,0,0,0
 48-58,0,0,0,0,0,0,2.56,0.68,0,0.55,0.59,1.51,4.37,0,0.39,0,1.48,0.64,0.41,0,6.94,13.41,0,0,0,0,0,0,0,2.95,0,0,2.15,0,0,0
 60-70,0,0,0,0.72,0,0,0.59,0,0,11.6,3.2,4.11,0,0,1.14,0,0,4.63,0,0,0,2.17,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.02,0,0,3.33,10.73,0.97,0,0,0,0.74,0,1.86,0,0,0,2.17,0,0,0,0,0,0,0,22.6,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.87,15.43,0,0,1.59,8.02,1.36,1.55,0,0,0,5.18,2.42,0,0,0,3.64,0,0.71,0,0,0,0,0,50.02,0.59,0,3.51,0,0,0
 96-106,0,0,0,0,0,1.66,0,0,2.85,1.4,51.1,3.85,0,0,0,0,8.52,6.78,0,0,0,15.98,0.62,6.89,0,0,0,0,0,61.67,0,0,2.99,0,1.7,0
108-118,0,0,0,4.11,3.29,20.63,17.54,0,2.5,0,70.4,10.26,0,1.04,0,0,7.96,18.14,0,1.11,1.42,13.7,0,3.43,0.77,0,7.73,1.41,0,203.85,0,0,2.61,0,0,0.75
120,0,0,0,6.17,0,17.94,17.36,0,2.08,1.44,84.96,4.62,0,0,0,0,7.07,33.15,0,8.33,3.41,23.15,0,2.97,0,0,0,0,0,146.76,0,0,1.57,7.52,0,0
