stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,3.88,0,0,0,0,0,0
 10-12,0,8.6,0,4.26,0,5.46,0,0,0,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.82,1.17,0,0,0,0,0,0,0,0,1.26,7.29,0,0,0,0.85,1.32,0,0,0
 24-34,0,0,0,0,2.98,0,0.9,0,0,0,0,0,0,0,1.96,0,0.77,10.81,0,0,0,0,1.6,0,0,0
 36-46,0,0,0,0,0,0,32.01,0,0,0,0,0,0.57,0,6.61,0.72,0.91,34.77,0,0,0,0,4.03,0,1.05,0
 48-58,0,0,0,0,0,0,119.23,0,0,0.51,0,0,0,0,6.37,0,0.86,69.47,0,0,0,0,7.25,0,0.52,0
 60-70,0,0,0,0,0,0,218.47,0.61,3.81,2.03,0,0,0,0,3.88,0.66,1.13,158.53,0,0,0,0,5.57,0.9,0.58,0
 72-82,0,0,0.54,0,0,0,189.74,0,0.78,5.28,0,0,0,0,11.13,0.55,1.29,186.61,1.48,0,0,0,7.26,0,3.58,0.74
 84-94,0,0,0,0,0,0,68.45,0,0,5.32,0,1.22,0,0,4.5,1.29,1.23,111.44,0,0,0.9,0,6.95,0,10.05,0
 96-106,0,0,0,0,0,0,35.24,0,0,5.93,0.67,0,0,0,8.74,0,0.62,125.02,6.12,0,1.19,0,0,0,0,0.72
108-118,0,0,0,0,2.62,0,60.49,0,1.77,0.88,0.5,0,0.63,0,19.12,0.45,0,239.79,0,0,0,0,1.26,0,3.68,0
120,0,0,0,0,0,0,76.73,0,0,10.47,0,0,0,4.72,50.44,0,0,236.45,1.34,0,0,0,0,6.25,0,0
