stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros
  3-4,12.63,301,0,0,0,0,0,0,0,20.16,0,0
  5-6,8.09,111.99,0,0,0,0,0,0,0,7.22,0,0
  7-9,12.79,0,27.53,0,30.97,7.03,112.64,7.02,30.77,0,11.11,0
 10-12,0,0,21.95,7.16,68.55,0,626.3,43.23,102.65,0,0,25.26
