stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.66,412.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.98,1206.34,0,9.08,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,139.92,0,0,0,24.3,0,30.86,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.99,20.05,0,20.37,0,0,27.58,0,0,0,0,0,33.59,0,0,0,0,0,0,0,0,451.74,10.39,0,0,118.61,0,0,74.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.19,0,36.26,0,0,39.8,0,0,0,0,0,7.55,0,0,0,0,0,0,0,0,513.3,0,0,0,99.29,0,0,25.62,0,13.51,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.26,0,21.47,0,0,0,3.37,0,0,0,0,0.87,0,0,5.21,4.83,0.86,155.3,0,0,0,0,0,0,7.13,3.37,0.82,6.94,1.89,58.61,0,0,0,0,15.26
 24-34,0,0,0,0.82,3.55,1.83,14.71,0,0,0,1.04,0,0,1.23,0,0,0,0,0,5.71,0,99.21,6.75,0,1.31,0,0,0,0,0,0,13.04,0,38.57,0,0,0,0,4.85
 36-46,0,0,0,0,7.09,1.13,9.01,0,0,0,3.39,0,0,0,0,0,2.39,0,0,6.58,0.79,65.25,0,1.63,0,0,0,0,0.98,0,0,3.2,0,36.21,0,0,4.57,0,0
 48-58,0,0,0.61,0,1.9,0,27.4,0.88,0,0,18.41,0,0,0,0,1.37,5.54,0.39,0,1.96,0,45.79,0,0,1.17,0,0,0,0,0,0,0,0,30.95,0,0,0.46,0,0
 60-70,0,0,0,0,1.17,0,34.38,8.05,0,0.71,29.02,0,0,0,0,2.36,26.18,0,0,12.21,1.96,59.48,0,0,0,0,0,1.27,0,0,0,0,0,9.85,0,0,1.29,1.09,0
 72-82,0,0,0,0,0.96,0,18.75,30.62,0.5,1,24.08,0,0,0,0,0,24.1,0,0,25.25,2.09,79.56,0,1.49,0.56,0,0,0,0,0,0,0,0,7.95,0.82,0.85,4.32,0,3.38
 84-94,0,0,0,0,1.38,0.57,62.46,47.15,0,0,17.06,1.59,0,0,0,0,19.7,0,0,18.71,1.18,49.96,0,0.95,0,0,0,0.68,0,0,1.74,0,0,10.39,0.62,0,0,2.24,0
 96-106,0,0,0.88,0,4.21,8.48,33.33,91.95,1.81,0,37.02,0,0,0,0.63,0.74,17.42,18.85,0,15.17,17.32,45.2,0,0,0.59,0,0,1.87,3.36,0,1.33,0,0,0,7.23,0.83,1.49,14.28,0
108-118,0,0,0,0,8.03,0,53.93,68.79,0.96,5.85,39.89,0,0,1.02,0,0,11.66,0,0,24.72,12.72,101.41,0,0,0,0,1.02,0,2.54,0,1.48,0,0,8.87,1.37,0,5.67,7.56,0
120,0,0,0,0,2.77,0,41.02,44.86,7.25,0,10.44,0,0,0,0,0,1.6,0,0,16.8,0,80.65,0,3.8,1.12,0,0,0,1.53,0,0,0,0,1.19,3.57,0,0,14.71,0
