stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0
  5-6,29.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.37,0,0,0,13.13,0,0,0,0,0,12.92,0,0,0,0,0,0,0,0,0,0,0,59.93,0,0,0,41.57,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.05,0,17.73,0,0,0,45.9,0,0,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0,171.38,0,0,0,6.58,0,4.05,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.47,0,6.56,0,10.92,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0.83,0,0,1.28,44.21,0,0,0,0.8,0,0.83,9.35,0,0,8.87,6.96,0,0,0,0,0.91
 24-34,0,1.85,0.71,1.75,2.62,0,50.4,0,1.07,1.15,1.43,0,0,0,6.77,0.67,0,1.24,0,0.97,16.69,0.69,0,2.59,168.87,4.35,3.19,2.32,0,0,3.23,0,0.65,1.01,10.22,22.28,0,0,3.87,0,0
 36-46,0,1.35,0,1.36,0.81,0,49.05,4.06,1.14,1.57,7.62,0,0,0,2.76,2.32,5.12,0,0,1.88,3.45,0,0,2.29,141.43,0,2.74,0,0,0,5.78,0,3.24,6.21,0,27.38,0,0,1.4,0,2.5
 48-58,0,0,0,16.34,0,0,133.57,0.74,2.75,0.65,6.5,1.15,0,0,4.88,0,1.27,0.42,1.44,0,19.13,0,1.22,4.34,207.82,0.46,4.14,0.57,0,0,3.58,0,0.45,1.97,0,26.78,0,0,4.72,0,3.53
 60-70,0,0,0,11.95,0.86,0,168.33,0.81,2.04,2.29,35.71,12.23,0,0,7.24,7.35,4.26,0.66,2.29,0,21.31,0,0,3.36,188.87,0,3.34,1.47,0,0,22.34,0,5.2,1.33,0,34.46,0.61,7.54,5.65,0,0
 72-82,0,1.88,0,11.61,6.02,0,172,0.59,0,3.16,23.02,2.13,0,1.84,7.94,0.65,0.72,0,1.26,0,46.75,7.05,1.88,4.72,195.51,0,10.77,2.01,0,0,6.28,0,1.15,0.55,0,32.19,0.94,1.19,3.16,1.12,10.17
 84-94,0,2.74,0,13.79,17.85,0,193.31,0,0,8,43.8,5.39,0,0,8.87,0.69,11.72,0.69,2.67,0,53.64,0,2.59,7.04,167.05,1.25,2.95,3.21,0,0.91,58.63,0,1.34,0,0,34.44,0,0,3.46,3.39,4.36
 96-106,0,2.64,0,12.62,11.08,0,146.45,0.64,0,5.74,25.81,7.31,0,1.93,4.78,3.54,0,5.19,32.29,0,44.86,0.71,0.56,7.99,109.84,1.67,8.3,4.46,0,0,27.59,0,1.75,1.26,0,19.76,0,6.55,6.37,1.5,0
108-118,0,2.44,0,26.36,9.22,1.32,199.66,0.42,3.07,2.54,36.08,9.95,0,3.16,9.65,5.34,5.37,6.56,15.85,0.83,82.01,2.02,6.52,16.27,182.6,0.45,7.83,11.86,0,0.76,52.39,0,1.63,1.18,0,17.19,0,1.17,13.71,1.59,7.03
120,0,14.29,1.28,25.79,4.46,7.47,131.13,0,4.79,8.73,46.86,14.57,0,14.17,8.94,0,0,0,15.72,1.55,139.51,1.12,23.12,11.45,344.71,5.86,9.48,20.16,0,0,52.39,0,1.21,3.3,0,9.33,2.06,1.56,13.96,1.96,2.75
