stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,ionocyte,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,somites,spinal.cord
  5-6,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,17.36,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,17.66,11.22,0,5.03,0,0
 14-21,0,0,2.29,2.06,0,0,0,0,0,1.82,0,0,0,0,0
 24-34,0,0,0,2.21,0,0,0,0,0.69,19.24,0,0,0,0.65,1.28
 36-46,0,0,2.04,5.88,0,2.82,0,0,0,39.48,0,0,0,0,5.21
 48-58,0,0,0,10.91,0,1.35,0.46,1.76,0,18.59,0,0,0,0,1.79
 60-70,0,0,0,20.01,0,2.08,0,3.64,0,22.43,0,0,0,0,0
 72-82,0,0,0,16.43,0,0,0,1.7,0,20.48,0,0,0,0,0
 84-94,0,0,0,11.11,0,0.79,0,3.53,0,24.66,0,0,0,0,4.83
 96-106,0,0.9,0,1.65,1.26,0,0.75,0.98,0,2.57,0,0,0,0,0
108-118,0,0,0,12.11,0,1.82,0,0.47,0,9.33,0,0.91,0,0,0.42
120,0,0,0,6.85,0,3.18,0,18.2,0,11.11,0,0,0,0,0
