stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,41.15,0,0,0,0,0,0,0,0,0,0
  5-6,98.35,0,0,0,0,0,0,0,0,0,0
  7-9,8.06,0,0,13.97,0,0,0,36.3,18.55,0,0
 10-12,0,0,0,5.98,0,0,0,23.03,22.97,0,0
 14-21,0,1.04,0,0,0,0,0,0.82,0,0,1.06
 24-34,0,0,0,0,0,0,0,5.03,0,0,0
 36-46,0,0,0,2.22,0,0.76,0,4.75,0,0,0.77
 48-58,0,0,0,0.58,0,0,0,5.07,0,0,0
 60-70,0,0,0,0,0,0,0,19.87,0,0,0
 72-82,0,0,1.2,15.78,0,0,0.64,3.25,0,0,0
 84-94,0,0,0,6.27,0,0,0,6.05,0,0,5.05
 96-106,0,0,0,0.65,0,0,0,0,0,3.57,0
108-118,0,0,0,20.59,0,0.79,3.28,9.08,0,0,0
120,0,0,0,0,14.64,0,0,0,0,0,0
