stage,blastomeres,endocrine.pancreas,eye,gut,immune,liver,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,13.52,0,4.77,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,16.27,0,3.01,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,6.65,0.63,0,0,0,0,0
 36-46,0,0,2.17,0,0,0,1.51,0,2.65,1.03,0,0,0.92,0,0
 48-58,0,0,0.45,0,0,0,0,0,3.64,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,4.87,0,0,0,0,0,0
 72-82,0,0.49,8.28,0,3.15,0,0,0.99,4.79,0,0,0,0,0,0
 84-94,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.86,9.37,0,0,0,1.46,0,0,1.55,0,0.81,0.95
108-118,0,0,0,0,9.34,7.02,0,1.39,2.75,0,0,0,1.12,0,0
120,0,0,0,2.35,5.36,0,0,0,24.83,0,0,0,0,0,2.27
