stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
 10-12,3.64,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,13.66,11.25,0,5.24,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,29.75,0,0,0,0,0,0.95,49.5,0,0,0
 24-34,0,0.61,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,0,0,0,22.13,0,0,0
 36-46,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0.92,0,0,15.03,0,0,0,0.74,0,0,13.23,0,0,0
 48-58,0,0,2.03,0,0,4.24,0.96,3.45,0.42,0,0,0.39,0,0.53,0,0,34.5,0,0,0,0,0,0,4.33,0,0,0.53
 60-70,0,0,0,0,0,17.56,0,0,0,0.62,0,9.53,0,1.8,0,0,35.67,0,0,0,0,3.74,0,5.17,0.81,1.54,0
 72-82,0,0,1.79,0,0,14.54,0,0,2.35,0,0,1.37,0,7.77,0.74,0,26.13,0,0,0,0,0,0,1.65,0,1.66,0
 84-94,0,0,0.6,0,0,12.22,0,0,5.72,0,0,3.58,0,0,0,0,8.89,0,0,0,0,0,0,0,0,3.13,0
 96-106,0,1.28,2.65,1.82,0,13.3,0,0,10.03,0,0,1.29,0,1.62,0,0,5.49,0,1.18,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.85,5.66,0,0,9.01,0,0,9.07,1.7,11.15,0,0,23.96,0,0,0,0,0,0,0.61,2.42,0,0
120,0,0,0,0,0,11.47,0,0,0,0,0,13.69,0,0,10.19,2.18,58.92,0,0,0,0,0,0,0,0,0,0
