stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,42.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.8,0,0,0,0,0,0,0,0
  5-6,35.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.48,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.63,0,0,0,0,87.72,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.41,0,11.5,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,72.58,0,0,0,42,36.7,0,0,0,0,0,0,0,0
 14-21,0,0,45.44,0,0,1.03,0,0,0,0,0,0,0,0,9.73,0,0,0,0,0,9.13,0,0.92,11.25,7.31,0,0,0,2282.39,0.96,13.08,3.02,8.52,0,10.7,0,0
 24-34,0,0,42.75,1.52,0,8.56,0,4.13,0.69,2.06,0.63,0,0,0,9.41,0,0,0,2.96,5.45,16.8,0,21.48,122.5,0.7,3.08,0,0,2084.47,0,0,1.14,17.39,0,2.1,0,0
 36-46,0,0,43.87,0,0,14.4,0,7.65,0,6.84,0,0,0.89,0.94,5.14,0,0,0,2.38,5.88,31.63,0,1.31,90.62,5.73,0,0,0,2390.74,0,0,0,14.94,0,0.65,0,4.38
 48-58,0,0,46.42,0,0,9.89,0,24.04,0,8.17,0,0,0,0,0,0,0,0,0,7.14,4.54,0,1.44,63.56,0,0,0,0,944.1,0,0,0,14.36,0,1.48,0,0
 60-70,0,0.57,77.35,0,0,27.93,0,21.7,0,9.47,0,0,0,0,5.63,0,1.2,0,0,5.6,3.91,0,0,63.96,0,0,0,0,1728.95,0,0,0,13.99,5.01,0,0.87,0
 72-82,0,0,107.74,0,0,20.9,0,5.67,0,4.8,2.23,0,0,0,14.52,0,1.17,0,0,4.19,7.27,0,0,36.71,0,0,0,0,865.68,0,0,0,4.58,0.67,0,2.06,0
 84-94,0,0,228.44,0,0,14.24,0,29.16,0.84,4.12,4.81,0,0,0,30.32,0,0,0,0,11.76,6.35,0,0,17.18,1.53,0.66,0.92,0,2127.11,0,0,0,0,9.32,0,0.74,8
 96-106,0,0.91,258.96,3.05,0,37.88,0,55.68,0,9.02,8.69,0,0,0.56,30.84,2.73,0.88,0,0,4.35,37.73,0,0,67.9,0.79,7.2,0,0,2693.81,0,0,0,2.3,3.21,1.65,2.22,0
108-118,0,0,229.24,7.24,0.95,7.03,1.51,59.14,0.48,2.74,14.9,0,0,3.43,49.99,0,3.57,6.67,0,19.4,39.42,0,0,63.27,0,1.44,3.19,0,2001.35,0,0,0,0,7.06,0.56,0.85,0
120,0,0,100.27,1.46,0,13.34,0,41.96,0,0,6.99,0,0,0,21.09,0,1.69,0,0,0,11.67,8.33,0,41.83,0,0,0,0,679.17,0,0,0,0,0,0,5.27,0
