stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,mucous,muscle,neural,notochord,periderm,presomitic.mesoderm,somites,vasculature
  3-4,26.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,14.42,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,5.07,0,0,0
 14-21,0,0,0,1.94,0,0,0,0,0,2.23,0,0,2.6,0,0,0.94,1.31,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,2.02,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.99,0,0.86,0,3.78,0,0,2.15
 48-58,0,0,0,0,0,0.46,0,0,0,0,0,0,2.46,0,2.93,0,0,1.29
 60-70,0,0,0,0,0,0,0,0,0.8,0.61,0,0,1.69,0,8.34,0,0,0.74
 72-82,0,0,0,0.54,0,0,0,0,0,0,0,0,1.24,0,0.71,0,0,0
 84-94,0,0,3.86,0,6.71,0,0,0.58,0,1.52,0,0.72,0,0,0.72,0,0,0
 96-106,0,0,1.12,0,0,0,0,0,0,1.8,0,0.85,0,0,0,0,0,0
108-118,0,0,0.5,0,0,0,3.24,0,0,0,0,0,0.65,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0
