stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,1.13,0,0,0,0,0,41.44,0,0,0,0,0,15.38,0,0,0,9.49,0,0,0,0,0,0,0,0,0,0,0,4.18
 48-58,0,0,0,0,0,0,0,2.13,96.04,0,0,0,0,0,3.84,0,0,0.56,5.28,0,0,0,0,0,0,0.65,0,0,0,0,0
 60-70,0,7.85,0,0,0,11.58,0,2.56,309.07,0,0,0,0,0,9.62,0.71,0,0,22.1,0,0,0,0,0,0,1.54,0,0,0.95,0,0
 72-82,0,36.14,5.86,9.72,3.53,32.5,0,8.79,767.36,0,0.63,0.66,0,0.68,23.11,16.19,0,0,131.35,1.92,1.48,0,0.83,8.01,0,10.51,0,0,1.08,0.96,0
 84-94,0,34.64,15.22,1.96,0,27.2,1.26,5.22,1730.02,0.88,0.92,0.73,0.74,0,25.46,5.46,0,0,118.55,0,0,0.95,0,8.89,0,8.84,0,1.32,0,0,0
 96-106,0,37.51,19.72,4.49,3.54,80.03,0,16.24,1597.41,1.68,0.9,0.81,0,0.71,47.96,28.65,0,11.36,296.98,0.62,2.14,1.94,0,11.16,0.57,2.27,2.98,0,4.61,0,0
108-118,0,25.24,28.94,4.27,4.63,22.29,0,6.05,1369.2,0,0,0,0,1.77,48.38,25.66,1.32,0,272.96,0,0,0,0,0.44,0,0,1.13,0,1.05,1.65,1.25
120,0,14.29,6.42,3,9.27,19.82,0,6.03,794.48,0,7.71,0,0,0,77.4,21.56,0,0,210.06,0,0,0,0,1.06,0,0,0,0,0,1.05,0
