stage,axial,epidermis,eye,fin.epithelia,glial,heart,iridophores,lateral.line,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,vasculature
  3-4,11.48,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0,0
 14-21,0,0.88,0,0,0,0,0,0,0,5.5,0,0,0,4.2,0
 24-34,0,0,0,0.7,0,0,0,0,0,27.74,1.23,0.69,0,5.94,0
 36-46,0,0,0,0,1.84,0,0,0,0,18.99,0,0,0,3.85,0.91
 48-58,0,0,5.72,0,0.45,0,0,0,0,12.97,0,0,0,4.35,0
 60-70,0,0,1.38,0,0.96,0,0,0,0.73,5.26,0,0,0,0,0
 72-82,0,0,6.25,0,0.89,0,0,0,1.69,18.22,0,0.69,0,0,0
 84-94,0,0,11.12,0,0.79,1.14,0,0,0,8.56,0,1.57,0,0,0
 96-106,0,0,9.8,0,1.46,1,0,0,0,0,0,0,0,0,0
108-118,0,0,6.16,0,2.31,0,0,0,4.21,9.6,0,0,0,0,0
120,0,0,0,0,0,0,2.23,1.08,0,33.76,0,0,0,0,0
