stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35,0,0,0,0,0,0,0,0,0
 14-21,0.82,44.4,2.33,0,0,0,0,0,18.85,0,0,0,0,0,0.85,0,0,0,11.71,5.27,0,0,0,10,0,0,0,0
 24-34,0,14.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.13,2.06,0,1.27,0.64,65.73,0,0,0,0
 36-46,0,0.56,0,0,7.56,0,0,0,0.66,0,0,0,0,0,0,0,0,0.76,376.04,12.51,0,0,0,78.39,0,0,0,0
 48-58,0,0,2.09,0,49.58,0,0,7.39,0,0,0,0,0,3.19,4.36,0,0,0.91,525.14,6.48,0,0,0,107.25,0,0.56,0,1.6
 60-70,0.7,0,2.07,0,147.42,0,0,12.46,0,0,0,0,0,0,1.91,0,0,0,556.76,3.22,0,0,0,84.63,0,0,0,0
 72-82,0.53,0,2.37,0,147.99,0,0,16.32,0,0,0,0,0,0,3.79,0,0,0,581.83,2.29,0.59,0,0,61.45,0,0,1.62,0
 84-94,0,0,2.57,1.24,146.43,0,6.84,5.67,0.93,0,2.51,0,0,0,2.13,0,0.6,0,427.43,6.86,0,0,0,24.39,0,0,0,0
 96-106,0,0,3.14,0,88.52,0,0,16.71,2.11,2.23,0,0.66,2.51,0,3.49,0,0,0,257.32,1.44,4.69,1.89,0,15.27,1.2,0,0,0
108-118,0,0,0,0.69,80.84,0.47,0,18.63,0,0,1.77,4.07,0,0,5.7,0,0,0,315.43,0.9,0,0,0,7.31,0,0,0,0
120,0,0,2.11,11.56,124.86,0,0,7.91,0,0,0,3.65,0,0,9.37,13.87,0,0,451.79,2.49,0,0,0,0,0,4.29,0,0
