stage,epidermis,eye,fin.epithelia,glial,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord
 14-21,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,73.68,0,1.04,0,0,0,0,0,0.69,0,0,0,14.04,0
 36-46,200.29,0,26.13,1.02,1.56,0,1.17,0,0,0,5.37,0,60.14,0
 48-58,150.07,2.02,14.59,0,0,0,0,0.52,0,2.7,9.12,0,22.89,1.41
 60-70,114.48,0,26.31,0,0,0,0,0.75,0.8,0,0,0,24.69,2.74
 72-82,61.1,2.46,7.29,1.98,0,0,0,0,1.82,1.07,0,0,22.56,3.68
 84-94,122.84,7.1,19.74,0,0,0.73,0,0,1.3,0,2.77,0,57.33,1.02
 96-106,74.32,7.95,8.76,0,0,0,0,0,1.13,0,4.22,0,38.51,0
108-118,88.51,0,17.31,0,0,0.69,0,0,1,0,0,1.02,21.99,0
120,96.23,0,17.64,0,1.01,0,0,16.84,0,0,0,0,7.95,0
