stage,blastomeres,fin.mesenchyme,glial,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  3-4,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0.93,1.28,0,0
 24-34,0,0,0,0,0,0,0.67,0,1.68,1.26,0,0,0,0,0,0,0
 36-46,0,0.72,0,0,0,0,3.22,0,0,4.02,1.42,0,0,0,2.87,0,0
 48-58,0,0,0,0,0,1.57,0.6,0,0,1.18,0,0,0,0,0,0,0.51
 60-70,0,0,6.02,0,0,0,1.96,0,0,0,0,0,0,0,0,4.91,0
 72-82,0,0,0.66,0,0.6,0,1.48,0.98,0,0,0,0,0,0,0,1.94,0
 84-94,0,0,0,0.6,0.93,0,0,0,0,0,0,0,0.57,0,0,0,0
 96-106,0,0,0,0,0,0,2.25,0,0,1.83,0,0,0,0,0,2.63,0
108-118,0,0,1.47,0,0.51,0,6.52,0,0.63,3.94,0,0,0,0,0,4.22,0
120,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,7.51,0
