stage,epidermis,erythrocytes,eye,glial,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,periderm,pronephros,somites,spinal.cord
  7-9,0,0,0,0,3.83,0,0,0,0,0,0,0,8.28,0,0,0,0,0
 10-12,0,0,8.19,0,0,0,0,0,0,0,0,0,9.12,0,0,0,0,0
 14-21,1.27,0,0,0,0,0,0,0,0,0,0,0,12.92,1.01,0,0.82,0.88,6.29
 24-34,0,0,0,0,0,0,0,0,0,0.73,0,1.92,13.7,0,0,0,0,3.81
 36-46,0,0,4.17,0.73,0,0,0,0.61,0,2.33,0,0,57.02,0,0,0,0,11.86
 48-58,0,0,10.61,1.72,0,8.37,0,0,0,0,0,0.94,28,0,0,0,0,2.21
 60-70,0,0,14.43,8.09,0,0,0,0,0,0,7.81,0,19.97,0,0,0,0,16.23
 72-82,0,0,5.9,0,0,0,0,0,0,5,0,0,24.63,0,0,0,0,0
 84-94,1.22,0,11.4,2.58,0,0,0,0,0,10.84,1.37,0,26.41,0,0,0,0,4.65
 96-106,0,0,22.16,2.69,0,0,1.31,0,0,1.62,0,1.21,16.8,0,0.69,0,0,4.17
108-118,0,0,3.12,0,0,0,0,0,1.06,3.96,0,0.51,24.68,0,0.7,0,0,0
120,0,1.76,13.53,0,0,0,0,0,0,0,0,0,41.95,0,0,0,0,0
