stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,74.14,1036.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.92,0,0,0,0,0,0
  5-6,233.66,1928.33,0,0,0,0,0,0,0,0,0,0,0,0,124.71,36.12,0,19.56,21.06,0,0,0,0,0,0
  7-9,33.05,43.97,100.22,0,0,126.49,0,0,57.94,0,0,0,0,0,937.86,75.18,0,345.8,0,0,0,0,0,0,0
 10-12,0,0,37.81,0,0,53.03,0,0,0,0,0,0,0,0,289.71,0,0,130.82,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,0,1.09,0,0,0,1.26,0,1.79,12.84,1.76,0.98,0,0,4.68,0.94,2.65,9.4,0,0
 24-34,0,0,0,0,0,4,0,1.04,0,0.76,0,9.04,0,1.34,53.88,0.87,0,0,1.68,0,0,0,11.93,1.71,0
 36-46,0,0,0,0.64,0,5.03,2.19,0,0,0,0,6.26,0,1.08,49.65,0,0,0,1.54,0,0,0,14.22,0,0
 48-58,0,0,0,2.08,0,10.1,4.37,0.88,0,0,0,5.5,0,0,22.61,0,0.54,6.64,0,0,0,0,3.42,0,0
 60-70,0,0,0,0,0,8.16,0,0,0,0,0,2.66,0,0,9.84,0,0,0,0,0,0,0,2.79,0,0
 72-82,0,0,0,0,0,1.6,0,2.63,0,0,0,5.98,0,0,21.28,0,0,0,3.58,0,0,0,0,6.27,0
 84-94,0,0,0,0.76,2.98,5.87,0,1.09,0,0,0,4.52,3.33,0,28.2,0,0,0,0,0,0,0,0,0,1.63
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,3.53,0,0,11.7,0,0,0,0,0,0,0,5.2,0,0.85
108-118,0,0,0,0,0,4.25,0,4.56,0,0,0.64,3.08,0,0.55,21.38,0,0.44,0,0,0,0,0,0.45,9.02,0
120,0,0,0,6.23,0,0,0,5.61,0,0,0,2.83,0,0,42.65,0,0,0,2.78,0,0,0,0,0,0
