stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.18,48.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.37,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.96,0,0,0,0,0,0,0
 14-21,0,0,0,2.68,0,0,0,22.39,0,0,0,0,0,0,0,0.99,1.99,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,36.92,13.81,0,0,0,0.62,1.22,0,0,2,0,0,0,0,0.63,0,2.87
 36-46,0,0,1.82,0,0,0,0,65.54,22.16,0,0,0,0,16.61,0,0,7.55,0,0,0,0,0,0,2.32
 48-58,0,0,3.23,0,0,0.42,0,36.38,0.5,0,0,0,0.43,3.4,0,0,2.78,0,0,1.04,0,0.9,0,0
 60-70,0,0,0,0.59,0,0,3.23,59.22,1.44,0,0,0,1.01,0,0,0,14.29,0,1.22,0,0,0,0,11.04
 72-82,0,0,0,2.13,10.45,0,8.69,57.84,1.13,0,0,0,10.36,0,0,4.54,36.71,0.54,1.42,0,2,0,1.57,0.73
 84-94,0,0,0,5.37,0,3.15,0,105.49,0,0.96,0,0,1.32,1.29,2.76,0,19.81,0,0,0,0,0,0,0.58
 96-106,0,0,1.1,12.85,0,0,0,126.8,0,0,0,0,8.95,0,4.02,1.64,11.75,0,0,0,0,0,0,5.13
108-118,0,0,0,1.49,13.29,0,4.54,127.95,5.06,0,0,0,3.55,2.58,0,0,35.43,1.13,0,0,0,0,0,3.29
120,0,0,0,5.18,1.91,0,4.04,204.32,2.58,0,1.72,19.61,7.15,0,0,0,20.14,0,0,2.47,0,0,0,8.88
