stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,34.77,24.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6306.3,0,0,0,183.06,0,0,5.47,0,0,0,9.66,0,0,0,0,0,0
 14-21,0,1.82,27.51,0,0,17.11,0,2.27,0,3.14,0,0,0,0,0,0,0,0,0,31.64,0,0,5.99,3620.94,0,0,5.35,0,0,0,0,1.27,0,0,3,215.79,0,0,29.35,0,0
 24-34,0,0,28.42,5.53,0,78.1,0,0,1.8,89.43,0,3.85,48.02,0,0,2.16,0,1.68,0,256.1,0,0,25.98,9001.93,4.83,0.63,48.08,0,0,14.33,0,0,0,1.4,2.23,549.61,0,0,477.48,0,0
 36-46,0,0,28.56,1.23,0,81.48,0,0,8.2,968.13,0.59,0,53.89,0,0,2.73,0.65,0.72,0,401.81,0,0,40.89,6225.62,3.82,0.64,28.9,0,4.12,44.54,0,0,1.4,0,0,756.87,0,6.77,348.96,0,2.75
 48-58,0,0,25.77,3.82,0,177.92,0,5.9,82.42,3081.28,0,0.52,67.26,1,0.61,1.4,0.48,0.48,3.29,982.92,0,4.2,37.72,2818.01,34.07,3.67,50.3,0,0.79,35.63,0,0,0,0,0,706.98,0,0,240.38,0,7.32
 60-70,0,0,14.12,0.62,0,194.27,0,17.75,100.69,3235.59,4.06,0,62.06,0,0,2.43,3.05,0,0,2081.59,0,6.57,44.4,996.24,7.03,0,54.54,0,0,25.55,0,0,0,0,0,321.22,0,4.46,180.68,0,6.76
 72-82,0,0,13.8,3.96,0.93,241.88,0,6.27,222.74,2997.88,6.91,0,39.49,0,0,5.83,0.68,0,0,2846.25,0.57,10.26,34.52,686.97,8.96,1.13,118.36,0,0,6.79,0,0,2.57,0,0,211.14,0.87,8.99,355.6,3.09,4.07
 84-94,0,0.67,33.91,0,0,240.54,1.34,11.33,250.78,1605.49,1.06,0,18.23,1.29,0.55,4.67,0,0.82,6.93,2454.15,0,7.81,24.35,500.85,10.7,1,143.95,0,1.65,14.34,0,0,0.92,0,0,171.53,0,16.84,307,6.46,0.73
 96-106,0,0,97.11,15.98,0.97,290.51,0.58,7.84,226.6,1265.13,6.16,0,54.88,9.9,8.56,4.24,0.75,34.44,0,2673.95,2.84,16.15,59.76,522.42,19.66,28.42,143.8,0,5.27,7.48,0,0,1.35,9.8,0,46,0,14,337.52,2.91,0
108-118,0,1.93,23.93,0,1,190.4,0.98,4.73,171.83,1645.06,0,0,26,2.08,6.96,0,0,2.83,2.36,2431.57,0,7.12,27.4,489.37,43.61,1.64,119.21,0,0,8.89,0,0,2.13,0,0,23.6,1.86,4.05,279.95,1.02,3.32
120,0,0,68.79,2.91,1.89,144.32,0,0,201.48,2153.67,0,0,46.62,2.03,3.02,7.79,0,3.26,0,2378.28,1.56,5.49,28.88,779.71,133.31,19.21,147.3,0,0,5.49,0,0,0,0,0,70.04,0,54.76,406.37,0,0
