stage,blastomeres,exocrine.pancreas,eye,glial,heart,iridophores,mesenchyme,neural,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle
  5-6,16.87,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.55,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.26,0,0,0,0.9,0
 24-34,0,0,0,0,0,0,1.67,8.74,0,0,0.76,2.52,0
 36-46,0,0,0.62,2.06,1.32,0,0,9.5,0,0,0,5.14,0
 48-58,0,0,0.87,0,0,0,0.78,13.91,0.5,0,0,4.63,0
 60-70,0,0,1.01,3.9,0,0,0,8.99,0,0,0.83,0,0
 72-82,0,1.04,0.78,6.76,0,0,0,9.1,0,0,0,0,0.63
 84-94,0,0,1.21,3.96,0,0,0,4.04,0,0,0,8.61,0
 96-106,0,0,0,0,0,0.71,1.27,5.85,0,0,0,0,0
108-118,0,0,1.56,0,0,0,0,1.54,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,9.62,0,0,0
