stage,blastomeres,epidermis,erythrocytes,fin_epithelia,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,neural,periderm,spinal_cord,vasculature
  5-6,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,2.62
 24-34,0,0,0,0.75,0,0,0,1.95,0.63,0.69,1.42,0,0,2.01,1.47,19.78
 36-46,0,0,0,0,0,0,0,7.21,0,0,0.85,0,0,1.74,0,15.69
 48-58,0,0,0,0.56,0,0,0,0.57,0,0,0,0,3.72,1.49,0,9.59
 60-70,0,4.04,0,0,0,0,1.59,3.82,0,0,0.98,2.4,0,5.7,0,8.1
 72-82,0,0.97,0,0,0,0,1.12,0.49,0,0,2.54,0,0,5.42,0,10.2
 84-94,0,1.35,0,0,1,0,2.23,3.78,0,0,1.55,0,3.93,8.4,0,11.59
 96-106,0,0,0.67,0,0,0.7,0,5,0,0,1.83,0,0.99,12.52,0,14.54
108-118,0,1.89,0,0.85,0,0,0.56,4.13,0,0,0,0,0,7.35,0,11.98
120,0,1.51,0,4.59,0,0,4.12,28.48,0,0,0,0,0,8.16,0,14.87
