stage,blastomeres,epidermis,eye,glial,hatching.gland,neural,otic,paraxial.mesoderm,periderm
  3-4,107.88,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.2,3.57,0,0,0
 10-12,0,0,0,0,0,0,0,13.05,0
 48-58,0,0,0,0,0,1.34,0,0,0
 84-94,0,0.79,0,0,0,1.03,0,0,0.55
108-118,0,0,1.06,0,0,0,0,0,0
120,0,0,0,1.31,0,0,3.06,0,0
