stage,endoderm,epidermis,eye,fin.epithelia,glial,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0.87,0.94,0,0,0,1.45,18.59,17.04,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.33,0.77,0,0,0,1.74,1.11,0,0,1.36
 36-46,0,0,0.58,0,0,0,0,0.67,0,2.61,11.01,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.05,0,0.42,2.8,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.63,0.8,0,0,10.18,0,0.61,2.05,0,0,0,0,0,0,0,0,0
 72-82,0,0,7.16,0,0,11.92,0,10.82,0,0,4.94,0,0,0,0,0,0,0,0,0
 84-94,0,0,14.94,1.04,5.01,25.08,0,9.75,0.65,0,0,0,0,0,0,0,0,0,0,1.12
 96-106,0,1.41,2.75,0,2.38,61.17,0,8.99,0,0.58,7.11,0,0,0,0,0,0,0,0.89,3.72
108-118,0.74,0.51,11.51,0.97,7.86,92.28,0,4.97,0,0,8,0,1.19,1.19,0,0,0,2.33,0,0.44
120,0,0,2.58,0,3.95,85.26,2.11,17.46,0,0,16.84,0,0,0,0,0,0,0,0,4.3
