stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste
  3-4,280.64,4416.95,0,0,0,0,0,0,0,0,0,0,0,0,0,165.23,0,0,0,0,0
  5-6,53.64,1246.89,6.55,0,0,0,0,0,0,0,0,0,106.91,0,17.56,18.48,0,0,0,0,0
  7-9,15.6,29.01,25.29,0,0,16.86,0,0,54.49,0,0,0,349.06,19.07,155.98,3.78,25.99,0,0,0,0
 10-12,0,0,6.44,0,0,3.98,0,0,5.92,0,0,0,97.61,0,35,0,10.56,0,0,0,0
 14-21,0,0,0,5.28,1.03,1.92,0,1.53,0,0,11.21,3.93,21.51,3.62,0.82,3.79,2.81,1.73,32.71,3.25,0
 24-34,0,0,0,0.66,0,1.09,2.25,0,0,0.98,0,0,6.61,0,0,0,0,0,1.73,1.22,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72,0,0,0,0,0
 48-58,0,0,0,0.45,0,1.36,0,0,0,0,0,0,3.37,1.42,0,2.12,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0.81,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,4.13,0,8.45,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0,0,5.51
