stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.89,0,0,0,0,0
 24-34,0,0.61,0.66,0,0,0,0.79,0,0,0,0,0,0,7.61,1.4,0,2.26,1.86,0,0,1.6,0,0,0.61,0,0
 36-46,0,0,0.56,0,1.87,0,0,0,0,0,0,0,0.76,8.84,14.87,0.76,0,0.6,0,0,0.9,0,0,7.56,0,0
 48-58,0,2.15,0,0.44,1.57,0,0,0,0,0,1.83,0,0.42,9.3,0.39,0.6,0,0,0,0,3.78,0,0.91,0,0,2.3
 60-70,0,0.72,0,0,2.19,0,0,0,0,0,5.4,0,0.68,15.85,0,0,2.43,0,3.48,0,2.54,0,0,0,0,0
 72-82,0,0,4.17,0,12.31,2,0,0,0,0,10.89,0,0,23.39,0,2.57,2.26,0,0,0,2.97,0,0,0.66,0.53,0
 84-94,0,0,5.63,0,3.45,0,0,0,0,0,17.6,1.94,0,24.06,0,0,1.75,1.79,0,0,3.11,0,0.56,0,0,0
 96-106,0,0.66,21.13,0,5.81,0,0,1.43,0,0,18.84,0.59,0.92,49.54,0,1.1,4.3,0.69,0,0,6.9,1.82,0,2.19,0,0
108-118,0,1.11,1.12,0,6.09,0,0.47,0,5.26,0.78,10.92,1.9,0,17.07,4.69,0,1.89,3.18,0,0.41,7.9,0,0,0,3.05,0
120,0,5.35,3.17,0,8.78,0,0,4.22,0,0,5.99,0,1.5,29.64,5.17,0,4.5,1.02,1.26,0,8.05,0,0,12.95,0,0
