stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,14.29,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,1.88,0,0
 24-34,0,0,0,0,0,0,0,0.64,0,0,0.65,0.63,0,1.34,11.01,0.59,1.63,0,0,2.22,7.39,1.26
 36-46,0,0,0,0,1.74,0.57,0,2.07,0,0,0,0,0,0,62.17,0,7.94,0,0,0,18.55,0
 48-58,0,0,0,0,0,0,0.37,5.54,0,0,0,7.39,0,0.59,76.74,0,7.31,0,0,2.74,10.67,0
 60-70,0,0,0,0,4.6,0,5.65,2.54,0,0,0,0,0,0,99.74,0,5.14,0,0,0.6,14.25,0
 72-82,0,0,0,0,0,0,2.95,1.35,2.71,0,2.95,0,0,0.89,148.24,0,8.78,0,0,0,4.49,0
 84-94,0,0,0.98,0,0,0,4.04,1.88,0,0,5,0,0.64,0,94.53,0,6.39,0,0,0,8.09,0
 96-106,0,0,1.15,1.03,2.77,0,3.18,0.59,0,0,0,0.69,0,0,88.98,0,13.27,0,0,0,2.54,0
108-118,0,0,0,0,0.6,0.85,0,0.59,1.7,4.72,5.58,0,0,0,75.61,0,2.54,0,5.87,0,0,0
120,0,0,0,0,0,0,0,0,0,0,9.21,0,2.98,0,190.63,0,17.35,0,0,0,0,0
