stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,xanthophores
  3-4,10.67,28.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.13,0,3.59,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.05,0,0,0,13.62,0,5.31,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.83,0,0,0,0,0,0,2.23,0,0,0,1.86,0,0,0,0
 24-34,0,0,0,2.61,0,0,0,0,0,0,0,0,0.65,0,0,0.72,0,1.14,0,0.64,0
 36-46,0,0,0,0,0,0.64,0,0,0,0,0,0,1.63,0.92,0,3.91,0,0,0,0,4.7
 48-58,0,0,0,0,0,3.42,0.96,0,0,0,0.75,0,6.98,1.76,0,7.08,0,0.48,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.16,0,9.48,0,0,9.18,0,0,0,0,0
 72-82,0,0,0,0.53,0,1.5,0,0,0,0.53,0.63,5.11,6.28,2.84,0,2.19,0,1.14,0,0,0
 84-94,0,0,0,0,0,0,0.96,1.25,0,2.23,0,0,0.79,2.19,0,8.63,0,1.05,0,0,0
 96-106,0,0,0,0,0,5.46,1.35,0,0,0.56,3.39,0,2.97,1.36,0,13.96,0,0,0.81,0,0
108-118,0,0,0,0.5,0.58,0,0.47,0,0,0,2.59,0,1.33,0,0,8.15,0,2.81,0,0,0
120,0,0,0,3.41,0,4.68,0,0,0,0,0,1.74,0,0,0,8.29,0,0,0,0,0
