stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,227.87,4251.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.91,0,0,0,0,0,0,0,0
  5-6,370.19,4896.81,9.08,0,0,0,0,28.56,0,0,0,0,0,195.24,35.36,0,42.53,245.23,0,0,0,0,0,0,0,0
  7-9,73.91,64.9,95.3,0,0,153.71,0,88.13,0,0,0,0,0,1782.07,62.21,0,676.21,0,5.15,0,13.28,0,0,0,0,0
 10-12,0,22.4,78.86,0,0,60.01,0,29.07,0,0,0,0,0,735.39,75.42,0,257.21,8.82,17.2,4.43,45.21,0,0,0,0,0
 14-21,0,0,1.95,37.48,3.15,4.97,0.89,0,1.92,0,4.36,14.57,11.35,165.94,22.58,1.9,3.18,9.22,1.53,31.18,3.06,7.71,23.4,48.74,0,0
 24-34,0,0,0,1.55,0,0.69,0,0,0,0.65,0,0.68,2.61,8.62,0.76,0,0,10.43,0,0,0,0,1.09,0.84,0,1.11
 36-46,0,0,0,0,0,0,1.1,0,0,0,6.31,1.9,0,0,1.31,0,0,0.98,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.51,0.44,0,0,0,0,1.44,0,1.06,0,0,0,0.82,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.35,1.21,0,0,0,2.8,0,10.6,1.17,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,4.32,0,0,0,0.65,0,4.65,0,5.55,0,0,0,4.5,0,0,0,0,0,0,0,1.21
 84-94,0,0,0,0,0,0.82,0,0,0,0,0,6.54,0,0,0,0,0,0.8,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,6.86,0.72,0,0,0.81,0,2.34,0,2.86,0.79,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,2.69,0,2.73,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0.45
120,0,0,0,0,0,0,0,0,0,1.57,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0
