stage,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,5.22,0,0,0,0
 10-12,0,0,0,0,0,3.19,0,22.95,10.73,0,0,0
 14-21,0,0,0,0,1.23,0,0,3.1,0,0,4.41,0
 24-34,0,0,0,0.9,1.8,0,0.73,5.65,0,0,0.68,0
 36-46,2.38,0,2.77,0,0,0,0.73,4.18,0,0,0,1.03
 48-58,0,0,0.51,0,0,0,0,5.92,0,0.53,0,0
 60-70,0,0,1.25,0,0,0,0.69,11.23,0,0,0,0
 72-82,0,0,11.01,0.82,1.85,0,1.37,2.25,0,0,0,0
 84-94,0,0,0,0,0,0,0.8,2.42,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.73
108-118,0,0.65,10.58,0,0,0,0,6.9,0,0,0,0
120,0,0,0,0,0,0,0,16.12,0,0,0,0
