stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0.96,0,0,0,0,0
 24-34,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,1.3
 36-46,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0.56,0,0,0.77,0.58,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,19.31
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,7.13,0,0,0,13.23,0,0,0,0,0,0,0,0.66,0,0.64,0,0,38.23
 60-70,0,0,0,0,0,0,0,0,7.5,0,0,0,0,31.92,0,2.74,0,10.01,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0.9,0,0,34.88
 72-82,0,0,4.25,0,7.26,0,0,0,2.01,12.02,0,0,0,30.64,0,18.24,0,29.66,0,1.12,4.39,6.6,0,0,0,0,0,0,0,0,0,4.44,0,2.24,16.36
 84-94,0,0,1.4,0,0,0,0,0,7.09,16.35,0,0,0,27.77,0.67,66.31,0,35.52,0,1.06,0,8.35,0,0,0,0,0,0,0,0,0,0,0.75,0,13.37
 96-106,2.08,19.83,8.32,8.04,61.53,0.99,0,1.54,57.6,360.98,1.74,1.43,0,24.98,0,1059.87,0,181.45,0,21.92,16.29,212.91,0.59,0.56,0,25.62,23.57,3.64,0,4.16,0,15.56,0.65,7.38,11.15
108-118,2.35,35.2,2.98,1.78,65.58,0.46,4.3,1.36,50.43,874.1,5.24,1.49,0,29.23,1.99,2527.27,2,272.69,0,16.84,30.09,273.2,1.52,0,0.67,5.26,16.8,33.56,0,4.21,1.61,10.27,4.65,6.68,59.69
120,9.87,80.16,0,0,114.92,0,7.19,0,120.88,776.71,0,4.44,2.78,40.29,0,1486.86,3.24,792.95,1.1,127.62,30.87,247.65,11.96,0,2.51,31.82,27.03,46.04,0,0,6.94,32.6,27.59,59.31,7.58
