stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,27.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.44,0,0,0,0,0,0,0,0,0
  5-6,0,68.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116.71,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,30.31,0,0,0,4.85,0,0,0,0,0,22.68,0,0,0,0,0,0,0,0,0,0,0,119.42,6.29,0,0,15.53,0,254.37,0,0,0,0,0,0,0,0,0
 10-12,0,9.71,273.97,0,0,0,0,0,0,0,0,0,41.1,0,0,0,0,0,0,0,0,0,0,0,2649.96,25.23,0,0,46.37,0,111.69,0,3.78,5.41,0,0,0,0,0,0
 14-21,0,0,9.34,3510.52,10.29,0,16.96,0,19.83,0,1.29,10.28,23.08,0,0,126.66,0,0,0,0,5.67,22.33,0,0,60.92,1.88,5.26,9.97,0.83,0,1659.82,3.79,7.13,6.78,16,0,0,4.84,0,0
 24-34,0,0,2.46,1856.28,0.95,0,11.09,0,162.89,0,0,5.13,6.09,0,0.6,108.39,0,27.76,0,0,9.76,58.53,0,2.27,271.89,9.95,36.09,11.89,0,0,2155.31,0,22.47,0.94,19.75,0,0,6.9,0,0
 36-46,0,0,0,1425.68,0,0,17.36,2.35,255.79,1.97,2.26,7.57,17.73,0,0,74.27,0,31.88,0,1.84,5.18,58.31,0,4.24,334.6,0.57,47.42,4.66,0,0,2323.31,0,16.96,0,43.04,0,0,2.65,0,3.92
 48-58,0,0,0,1020.08,0,0,45.4,0,331.07,0.45,9.79,0.49,124.65,0.83,1.47,49.26,2.58,23.89,0,8.52,22.78,51.63,0,0.42,280.3,0.45,48.53,3.5,0,0.39,1515.32,0,1.05,0,29.6,0,0,0.81,0,10.78
 60-70,0,0,0,1091.53,1.3,0,61.74,1.01,314.46,3.06,7.41,7.1,61.07,0,3.59,84.54,0,43.88,0,7.59,11.26,36.48,0,2.02,233.37,0,68.87,10.8,0,0,1285.53,0,5.58,0,11.47,17.08,0,2.92,0.71,0
 72-82,0,0,0,706.16,0.91,0,49.03,1.43,210.26,0,9.48,12.69,24.32,0,5.88,58.4,0,24.87,0,0,31.7,45.3,0,1.18,178.23,0,38.37,5.95,0,0,773.87,0,1.58,0,15.13,39.89,0,4.02,0.84,0
 84-94,3.08,0,0,1109.64,8.71,0,43.77,0.55,340.5,1.84,6.29,28.36,41.67,1.66,0,98.53,1.75,66.32,0.69,7.48,34.73,52.06,0,3.46,135.35,0,60.07,4.19,0,0,1803.51,0,10.22,0,10.58,136.4,1.38,2.27,4.35,0
 96-106,0,0,0,1227,2.65,0,52.35,0,339.5,10.54,0.57,91.91,7.41,0,4.99,112.95,0,45.9,7.38,3.4,14.52,67.22,5.97,2.84,221.5,0,108.78,1.52,0,2.84,1429.18,0,7.55,0,4.86,212.87,0,7.34,0,0
108-118,0,0,0,1298.54,7.17,1.94,62.28,6.53,474.86,2.02,12.89,107.36,2.74,0,7.94,156.38,0.85,48.94,11.94,10.23,20.97,64.31,1.6,2.37,130.41,0,63.42,0.94,0,0,1301.12,0,11.52,0,5.03,277.78,0,5.36,1.13,4.94
120,0,0,0,1395.16,13.72,0,36.48,0,291.07,5.39,33.64,52.44,0,0,10.25,56.87,0,35.26,0,0,43.29,47.95,12.41,1.18,152.93,0,66.41,0,0,0,897.71,0,7.05,0,0,99.07,1.32,0,0,0
