stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle
 10-12,17.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,45.19,0,0,0,0,0,0,0,0,0,8.14,1.11,0,0,0,0,0,0
 24-34,0,34.45,0,0,0,0.61,0,0,0,4.58,0,43.04,1.17,0,0,1.03,0,0,0
 36-46,0,8.87,0,0,0,0,0,0,0,9.97,0,45.39,3.28,0,0,0,1.64,0,1.23
 48-58,0,15.78,0,1.79,0,4.05,0.73,0,1.18,26.4,0,17.14,11.17,0,0,0,1.62,0,0
 60-70,0,10.51,0,3.83,0,0.86,0,0,0,13.07,0,7.88,10.77,0,0,0,0,0,0
 72-82,0,17.19,0,2.31,0,0,0,0,0,53.58,0,10,9.01,0,0,0,0,2.91,0
 84-94,0,31.45,0,1.91,0,4.25,1.92,0,0,31.78,0,2.92,3.93,0,0,0,0,0.72,0
 96-106,0,23.97,2.61,7.6,0,2.83,0,0,0,24.46,0,1.56,0,0,0,0,0,5.48,0
108-118,0,19.27,0,7.78,0,0,0,1.46,0,46.92,0,7.17,5.57,3.14,0.61,0,0,5.77,0
120,0,19.92,0,3.05,1.83,0,0,3.67,0,12.16,3.54,2.36,25.57,0,0,0,0,3.15,0
