stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,101.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,1.67,3.99,70.17,0,0,0
 24-34,0,30.39,0,1.75,0,0,0,0,1.84,0.67,0,0,0,0,0,0,1.28,31.02,9.03,0,0,0,7.93,17.99,280.52,0,0,0
 36-46,0.56,5.46,0,3.49,2.38,0,0,0,2.67,0.56,0,0,0.61,0,14.2,0,11.18,18.8,0,0,0,0,38.71,14.64,654.9,5.43,1.99,0
 48-58,0,2.17,0,8.18,20.26,0.42,0.42,5.95,0.45,0,0,0,0,0,4.95,0,5.64,79.26,0,0,0,0,8.14,3.71,625.7,9.25,0,0
 60-70,0,11.55,0,27.68,47,0.8,0,8.4,3.31,0,0,0,0,0,0.67,0,0.57,14.55,0,0,0.81,0,0,0.73,292.22,1.4,0,0
 72-82,0,0,0,28.56,26.45,0,0,2.04,0.66,0,0,0,0,0,2.5,1.28,0,16.65,0,0,0,0,11.15,2.62,90.48,7.28,0,0
 84-94,0,1.02,2.73,10.04,42.9,0,0,0,0.73,0,1.58,0,0,0,5.25,2.35,2.93,14.31,0,0,0,0,3.28,0,144.22,0,0,0
 96-106,0,3.96,0,28.33,25.64,0,0,5.95,0,0,0,0,1.07,0.75,7.73,0,2.78,5.3,0,4.18,0,0,5.05,0,172.7,0,0,0
108-118,0,0.85,0,9.53,37.34,0,1.17,1.44,0,0,0,0,0,1.41,9.41,0,0,15.66,0,0.91,0,0.91,9.97,0.63,139.7,0,0.61,1.88
120,0,7.01,0,6.89,15.21,0,0,0,0,0,0,1.17,0,0,0,0,0,26.62,0,0,0,0,2.41,0,24.75,0,3.25,0
