stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,periderm,spinal.cord,taste
  3-4,36.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0
 10-12,0,0,4.23,0,0,0,0,0,0,0,0,9.28,0,0,0
 24-34,0,1.24,0,0,0.83,0,0,0,0,0.93,0,8.66,0.75,1.2,0
 36-46,0,0,0,0,1.15,0,0,0,0.7,1.03,0.6,0.78,0.76,0.63,0
 48-58,0,0,0.37,0,0,0,0,0,0,3.08,0,0.86,0.39,0,0
 60-70,0,0,4.75,0,0,0,0,0,0.58,0,0,4.5,0,0,0
 72-82,0,0,0,0,0,0,0,0,4.84,8.58,0,5.79,1.09,0,0.53
 84-94,0,0.68,0,0,0,0,0,0,5.25,2.28,0,7.01,0,2.98,0
 96-106,0,0,4.26,0,0,0.62,2.01,10.33,3.14,7.59,0,9.89,0,0,0.81
108-118,0,0,7.71,1.58,3.27,0,0,0,2.14,7.12,0,11.6,0,6.38,0
120,0,0,0,0,0,0,0,0,2.99,5.62,0,20.58,0,0,0
