stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.18,36.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,38.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.78,14.65,0,0,9.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.9,5.03,0,0,22.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.5,20.92,0,0.82,0,0,0,0,0.92,3.15,0,0,0,0,0,0,3.66,0,0,4.39,42.76,0,0,0,0,0,0,0,3.27,0,5.1,4.38,0,0,4.43,0,0
 24-34,0,0,0,0.7,7.72,0.94,0.62,0,0,0,0,0,0,2.45,0,0,0,0,0,3.34,0,0,3.79,135.81,1.46,0,1.76,0,0,0,0,0,1.92,0,11.14,0,0,4.7,0,0
 36-46,0,0,0,0,2.07,0,1.3,0,0,0,15.04,0,3.78,4.89,0,0,0,0,0,11.95,0,0,4.02,61.52,1.04,0,7.79,0,0,0,0,0,0.58,0,4.44,0,0,1.41,0,0
 48-58,0,0,0,0,9.85,0,17.11,0,0,0,29.01,2.93,0,8.87,0,0,0,0.96,0,25.86,0,0,0.96,43.89,0,0.76,0.47,0,0,0,0,0,2.74,0,11.4,0,0,6.57,0,1.1
 60-70,0,0,0,0,10.15,0,19.9,0,0,0,40.01,17.08,1.66,14.77,0,0,0,0,0,83.55,0,0,5.22,22.85,0,0,0,0,0,0.88,0,0,1.51,0,2.32,3.63,0.82,9.89,0,0
 72-82,0,0,0,0,21.65,0,21.58,0,0,0,59.84,25.82,0,6.1,1.81,0,0,0,0,199.13,0,1.13,3.63,21.14,0,2.64,1.92,0,0,0.75,0,0,0.85,0,2.88,1.21,5.22,3.37,2.31,0
 84-94,0,0,2.79,0,38.32,0,11.4,0,0,0.7,63.18,21.29,0,27.79,0,1.97,1.03,0,1.11,185.39,0,9.68,0,55.9,0,2.74,4.85,0,2.02,0.66,0,0,3.25,0,5.32,3.79,0,9.4,0.72,0
 96-106,0,0,2.57,0,64.55,0,24.24,0.9,2.68,0,54.21,40.38,2.94,21.85,3.19,0.67,0,7.25,0,269.74,1.15,2.61,5.37,29.29,0,6.83,1.81,0,0.97,2.88,1.14,0,0.58,0,1.67,1.88,0.78,2.37,0,0
108-118,0,0,0,0,55.22,0,32.67,0,0,0.82,51.53,48.25,1.72,30.82,4.62,0,0,6.87,3.92,201.62,1.86,0,0.68,38.39,0,6.59,1.5,0,7.12,6.24,0,0,2.43,0,2.76,0.67,0,4.38,3.33,0.92
120,0,0,0,0,62.3,0,29.47,0,12.97,0,125.65,54.83,12.95,67.67,0,1.17,0,4.64,1.79,259.43,0,19.73,1.82,114.98,0,3.45,0,0,2.67,0,0,0,5.71,0,0,0,0,5.63,0,0
