stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,58.13,1070.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.62,0,0,0,0,0,0,0,0,0
  5-6,51.09,377.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.24,0,0,10.87,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,10.21,3.31,0,0,0,0,0.99,0,0.91,0.91,0,0,0,0,0
 24-34,0,0,0,0,0,0.68,19.37,0,0,0,0.64,0,0,0,0,0,0,0,0,2.43,0,0,0,23.5,0.63,1.05,0,0,0,0,0,0,1.08,0,0,12.06,0,0
 36-46,0,0,0,0,1.32,0,7.55,0,0,0,5.43,0,0,0,0,0,0,0,0,4.4,0,0.88,1.97,61,0.92,0.57,0,0,0,0,0,0,6.89,0,0,1.98,0,0
 48-58,0,0,0,0,5.41,0,26.68,0,0,0,36.6,0,0,0,0,0,0.47,0,0,11.57,0,0,1.72,608.83,0.42,0.48,0,0,0,0,0,0,69.81,0,0,3.04,0,0.48
 60-70,0,0,0,0,0,0,29.7,4.19,1.62,6.57,41.08,2.59,0,2.49,0,0,0.82,0,0,48.14,0,0,4.35,1046.07,0,0.78,0,0,0,0,0.67,0,135.42,0,2.13,0.83,0,0
 72-82,0,0,0.79,0,3.03,0,47.39,0,0,8.24,84.23,1.62,0.58,0,0,3.21,7.48,0,2.63,71.59,0.94,0.68,3.5,694.49,0,6.31,0,0,2.48,0,0,0,105.33,0,0.87,3.8,2.52,4.75
 84-94,0,0,0,0,1.41,4.05,51.73,0,0,4.22,38.33,7.8,0,0,0,0,0.66,0.83,0.98,91.55,0,0.72,13.07,419.38,0.61,3.37,0,0,3.43,0,0,0,52.99,0,0,3.29,0.68,0.7
 96-106,0,0,0,0,2.89,6.77,30.6,2.47,1.31,5.39,78.65,0,0.68,0.86,0,0,2.42,1.19,0,74.82,0,11.28,5.29,222.25,0.57,8.09,0,1.3,1.68,0,0,0,10.31,0.59,2.5,6.6,0.91,7.8
108-118,0,0,1.82,0,6.86,0,20.83,0,0.7,2.57,70.05,0.93,0,0,0.71,5.64,1.36,0,1.44,106.03,0,4.25,5.51,349.62,1.42,4.63,0,0,1.07,1.41,0,0,19.75,0.46,0,4.44,2.14,6.38
120,0,0,0,0,10.71,0,58.44,0,3.63,1.44,97.37,1.68,0,1.11,2.26,0,3.58,0,0,116.93,0,25.05,14.87,812.55,1.08,9.63,0,0,1.48,0,1.69,0,0,0,0,1.33,1.93,2.08
