stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,spinal_cord,vasculature,xanthophores
 14-21,0.83,0,0,0,0,0,0,0,0,0,0,0.88,0.82,0,0.94,0,0
 24-34,5.66,1.96,0,0,0,0,0,0,0,4.97,0,0,16.31,0.83,2.86,2.54,0
 36-46,0,1.21,0,0,0,2.33,0,0,0,6.97,0,0,9.31,0,1.63,0,0
 48-58,0,2.64,0,3.41,0,0,0,0,0,6.62,0,0,11.79,0,0,0,0
 60-70,4.06,0,4.75,0,0,0,0,0,0.61,1.76,0,0,0,0,0,0,0
 72-82,1.87,1.3,0,0,0.78,5.21,0,0,0,8.24,0,0,0.68,0,0,0,0
 84-94,0.91,2.2,0,0,0,4.38,0,0,0,9.33,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.86,0.96,0,5.06,0,0,2.62,0,0,0,0
108-118,0,2.34,0,0,0,2.32,0,0,0,3.99,2.89,0,0.85,0,0,0,0.85
120,1.57,2.18,0,0,0,35.79,0,0,0,27.28,0,0,1.3,4.5,0,3.67,0
