stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.88,0,6.52,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.5,0,0,0,13.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,18.6,0,19.09,0,0,9.88,0,0,0,0,0,0,4.55,0,0.88,17.05,0,0,5.68,781.29,1.47,1.08,15.47,0.95,0,1.03,4.95,0,0,3.57,169.73,0,0,0,0
 24-34,0,1.26,0.67,12.8,0,44.52,1.15,0.68,16.12,0,0.74,0,0,1.41,8.2,29.13,0.76,2.14,63.34,0,0,19.59,1406.86,0,3,25.57,0,0,6.45,0,0,0.78,0.64,289.66,0,4.15,0,13.63
 36-46,0,0,0,10.03,0,39.37,2.74,3.31,54.41,0,0,1.56,0,0.87,3.33,36.04,0.57,0,127.36,0,0.8,41.21,1431.41,1.44,7.66,28.82,0,0,10.74,1.63,0,0,0,441.09,0,3.19,0,16.49
 48-58,0,0,0,7.87,0,93.43,0.89,18.1,100.46,0.51,0,0.77,0,0,2.8,39.42,1.24,0,258.28,0.37,1.43,53.85,913.38,0,3.51,17.96,0,0,4.35,0,0,0,0,389.23,0.49,4.72,0,3.75
 60-70,0,0,0,8.92,0,78.07,2.08,20.45,155,0,0,0,0.93,0,3.16,29.74,0,0,452.48,0,0,35.52,1351.61,1.57,3,31.63,0,1.19,4.63,0,0,0,0,241.28,4.92,2.98,2.23,17.62
 72-82,0,0,0,7.19,1.47,86,4.04,16.26,111.58,0,0,1.16,0,0,6.68,42.82,2.65,0,525.37,0,14.99,32.06,1030.87,0,6.17,27.58,0,0.83,2.45,0,0,0,0,115.85,2.27,3.91,6.94,6
 84-94,0,0,0,4.86,0,98.93,0.66,3.11,94.81,0.64,0,0,0.65,0,7.27,27.97,0,0,519.15,0,7.38,27.57,731.16,0,13.96,18.66,0,2.53,5.24,0,0,0,0,66.47,7.25,0,3.22,12.52
 96-106,0,0,0,3.79,2.8,114.97,0.61,14.33,113.41,1.49,0,5.19,1.72,0,8.2,50.45,21.5,0,392.76,0,0.8,22.61,560.46,0,2.11,36.34,0,18.36,3.49,0,0.77,0,0,16.52,6.55,3.37,14.18,8.38
108-118,0,1,0,5.07,0,53.88,1.57,8.28,73.83,0.45,0,1.02,0,0,13.58,26.41,0,0,435.92,0,3.75,22.26,806.19,0,5.87,27.4,0,2.57,1.63,0,0,0,0,41.78,3.86,1.57,5.42,22.16
120,0,0,0,31.37,1.27,127.55,0,1.58,73.29,0,0,0,0,0,0,25.34,0,0,351.55,0,3.7,25.45,961.27,0,5.31,17.69,0,0,1.11,0,1.83,0,0,39.96,5.3,0,9.72,0
