stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,neural,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,2.11,0.87,0,0,0,0,0,0,1.11,0,1.05,0,0,0,0,0,0
 24-34,0.65,0,0,0,0,0,0,0,0,3.37,0,5.29,1.65,1.59,0,0,0,0
 36-46,11.84,0,0,0,0,0,0,0,0,0,0,2.56,5.64,3.71,0.93,0,2.35,0
 48-58,0,0,1.27,1,0,0,0,0,0,0,0,3.48,0.78,1.39,0.7,0,0,0
 60-70,0,0,0.75,0,1.21,0,0,0,1.31,0,5.32,0.81,0.84,0,0,0,0,15.31
 72-82,0,0,0,0,0,0,0,0,0,0,0,5.74,1.43,0,0,0,0,0
 84-94,0.61,0,0,0,0,0,0,0,0,0,0,2.35,1.79,2.57,0,1.08,0,0
 96-106,0.93,0,1.25,0,0,1.04,0.79,1.57,0.61,5.53,0.7,0.57,11.58,2.34,0,1.96,0,0
108-118,0,0,3.33,1.6,0,0,1.37,0,0,0.68,0,9.3,2.23,0.47,0,0,0.86,0
120,0,0,0,0,0,4.19,3.81,0,0,3.59,0,10.47,0,0,0,0,5.76,0
