stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.12,169.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,177.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.82,7.99,0,0,21.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.79,0,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.15,5.94,0,0,254.55,0,0,0,23.19,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,378.61,81.44,0,4.07,0,3.08,0,34.74,56.6,0,0,1.15,0,0,0,0,93.11,3.65,0,36.19,151.81,78.4,0,0,379.39,0,12.19,1241.96,2.17,8.02,190.45,822.18,0,0,2.63,0,0
 24-34,0,0,0,0,91.42,1.78,0,11.87,0.68,20.66,3.36,69.83,36.09,0,0,0,0,0,0,5.26,105.23,0,0,104.16,135.32,31.82,0,0,0,0,8.39,0.71,2.59,3.18,93.59,532.85,0,0,46.41,0,0
 36-46,0,0,0,0,14.94,0,0,12.64,12.83,20.15,24.42,51.98,7.27,0,0,0,0,0,0,2.14,241.36,0,5.34,139.17,143.5,4.76,1.98,0.56,0,0,8.36,0,1.81,4.35,1.39,1019.08,0,0,22.86,0,5.36
 48-58,0,0,0,0,9.65,0,0,23.6,1.37,26.64,52.41,60.76,0.57,1.16,0.39,0,1.22,0.44,0,3.88,231.75,0.52,6.7,108.07,210.94,11.41,0,0.45,0,0,10.62,0,0,3.29,0,1195.02,0,0,11.49,0,8.67
 60-70,0,0,0,0,16.84,6.03,0,39.84,1.4,47.24,90.79,40.46,2.65,0,0,0,0,0,0,0,196.47,0.67,5.48,46.39,173.24,2.48,0,2.05,0,0,32.06,1.38,0.63,0,0,1215.23,0,0,13.89,1.92,4.38
 72-82,0,0,2.35,0,2.88,0,0,33.96,1.52,18.6,138.29,69.13,8.98,0,0,0,1.38,0,0,0.53,209.34,1.89,31.15,53.7,117.35,0.52,8,0,0,0,9.08,0,0,0,0,923.13,3.64,1.66,8.83,10.48,8.6
 84-94,0,0,1.95,0,12.68,3.55,0,74.19,0,36.3,82.54,67.84,11.36,0,0.61,0,0,0,0,3.13,184.76,0,26.29,39.71,127.14,0.66,0,0,0,1.45,22.18,0,3.32,0,0,795.75,0,1.21,17.99,27.89,11.19
 96-106,0,0,3.26,0,13.32,7.43,6.8,40.21,0,35.06,43.13,34.25,7.16,0,0,0,1.32,0,0,0.75,164.49,0,12.16,44.54,106.65,0.66,0,1.53,0,0,19.8,0,0.6,0.7,0,279.72,0,1.27,13.84,15.28,1.99
108-118,0,0,5.44,0,9.84,0,0,19.89,0.42,35.19,34.75,44,9.58,0,0,0.63,6.32,0,0.42,3.84,171.91,1.15,12.85,57.52,215.68,5.14,0,1.36,0,0,20.88,0,0.52,1.39,0,134.94,0,1.16,34.92,17.9,7.84
120,0,0,0,0,7.18,0,1.89,3.45,0,21.92,64.48,34.11,3.85,0,0,0,3.97,0,3.42,5.95,101.12,1.65,11.11,24.66,91.8,1.93,0,0,0,15.79,25.04,0,1.13,3,0,112.31,0,0,5.45,6.59,5.71
