stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,81.16,1610.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0,0,0,0
  5-6,125.16,1423.78,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.15,10.39,0,21.67,0,0,93.14,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,565.61,29.98,0,0,224.43,3.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.27,0,58.59,0,0,42.85,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,533.27,4.28,0,0,106.03,0,0,22.08,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,3.47,6.11,2.68,0,0,2.04,0.82,0,0,0,0,0,0,0,4.27,0,0,2.1,73.76,1.42,0,0,0.87,5.38,10.19,0,0,8.09,22.75,0,0,0,0,0
 24-34,0,0,0,0.68,7.27,0.62,16.18,0,0.86,2.92,0,0,0,0.8,0.62,0,0.73,0,13,0,0,15.91,147.78,0.73,0,0.68,0,8.66,0,0,0,0.65,33.46,0,0,0.92,0,0
 36-46,0,0,0,0,0.61,1.1,31.44,0,0,16.78,0,0,0,0,0,0,0,0.57,13.09,0,0,2.68,144.09,0,0,1.19,0,24.59,0,0,2.58,0,34.9,0,0,2.55,0,8.57
 48-58,0,0,0,0,0.79,0,58.65,0,0.83,11.02,0,0,7.59,0,0.61,0.41,0,0,12.72,0,1,4.96,132.59,0,0.38,0,0,6.03,0,0,0,0,20.31,0,0,1.5,0,0
 60-70,0,0,0.7,0,0.64,4.31,38.54,0,5.57,12.64,2.72,0,0,9.93,0,0,0,3.28,12.35,0,0,1.39,94.57,0,0.96,7.28,0,0,0,0,0,0,8.9,0,0,0.57,0,0
 72-82,0,0,0,0,1.3,0,55.24,0,0.59,9.2,0,0,0,0,0.66,0,0,0,25.52,0,2.79,2.25,90.14,0,0,1.06,0,0.53,0,0,0,0,10.25,0,0.87,7.73,0,0
 84-94,0,0,0,0,3.43,0,27.46,0,0,9.49,1.23,0,0,0.71,0,0,1.52,0.57,29.77,0,0,2.71,30.76,0,0,0.59,0,0.56,0,0,0,0,7.01,0,0,0,1.55,0
 96-106,0,0,0,0,8.3,0,14.44,0,1.97,6.45,1.77,0,0,2.6,0,0,0,0.6,10.9,0,0.8,3.64,35.63,0,2.43,0,0,7.41,0,0,0,0,0,1.44,0,1.31,0,0
108-118,0,0,0,0.49,4.98,0.59,12.08,1.14,0,8.25,0.61,0,0,0.97,0.49,1.26,0,0,4.07,0,0,5.04,45.22,0,1.68,1.78,0,4.57,0,0,0,0,0,0,0,4.45,0,0
120,0,0,0,0,2.77,1.18,1.13,0,0,25.52,0,0,0,0,0,3.33,0,0,28.52,2.21,0,0,111.32,0,0,3.16,0,1.39,0,0,0,0,0,0,0,3.54,0,0
