stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,174.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.75,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.63,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.83,0,0,0,39.84,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.89,6.28,1.97,0,2.53,0,0,0,0,0.84,0,0,0,0,0,1.02,0,3.61,0,0,1.71,23.67,0,0,0.87,0.89,0,0,5.41,0,0,10.01,4.81,0,0,0,0,0
 24-34,0,0,0,3.89,0,0,6.63,0,0,0.99,0,0.73,1.04,0,0.6,0,0,0,0.73,14.41,0,0,6.65,37.12,0,0,1.11,0,0,3.94,0,0,0,2.44,13.46,0,0,0,0,0
 36-46,0,0,0,6.08,0,0,7.51,0,0,1.03,2.51,0,0,0,0,0,1.61,0,0,9.35,0,2.22,1.33,32.57,0,2.39,0,0,0,1.9,0,0,0,0,2.74,0,0,2.68,0,3.03
 48-58,0,0.44,0,0.39,0,0,7.26,0,1.07,3.92,3.56,0,0.85,1.31,0,0,0,0,1.72,5.84,0,0.78,2.96,43.25,0,0,0.38,0,0,7.74,0,0,0.4,0,3.84,0,0,0.47,0,0
 60-70,0,0,0,0,0,0,19.17,0,0,0,5.08,0,0,2.13,0,0,0,0,0,11.65,1.14,2.35,2.82,35.46,0,0,0,0,2.4,0,0,0,0,0,2.49,0,0,0,0,0
 72-82,0,2,0,1.42,5.56,0,30.1,0,1.17,2.62,22.26,3.03,1.54,5.85,0,2.56,0,0.62,0,30.6,0.93,3.48,4.04,54.59,0,5.09,3.45,0,0,4.77,0,0,0.53,0,10.9,1.33,1.6,6.04,0,5.31
 84-94,0,1.18,0,6.11,0,0,14.53,0,2.31,0.87,10.41,0.64,0,7.87,0,0,0,0.57,0.67,30.44,2.9,1.19,3,48.66,0,4.05,2.45,0,0,34.7,0,0.67,0,0,5.98,0,0,5.22,2.96,6.18
 96-106,0,0,0,5.99,12.43,0,15.3,0,4.51,1.87,7.17,2.17,3.22,11.18,1.34,0,2.34,0,0.68,45.24,3.85,1.9,6.78,47.17,0,3.9,7.31,0,0,32.64,0,0.73,0,0,5.63,2.19,0.58,8.07,0.86,0.62
108-118,0,0,0,9.92,5.59,0.97,25.41,0,2.38,3.77,29.12,2.98,0,14.31,0,4.98,3.24,0.87,0.53,44.52,0.44,1.95,5.78,66.41,0.85,4.61,4.17,0,0,28,0,0,0.6,0,5.65,0.55,0.57,12.95,0,1.57
120,0,0,0,29.2,0,0,5.66,2.98,1.42,6.63,11.3,0,3.84,16.1,2.2,0,2.73,0,0,67.34,0,1.83,13.1,88.76,0,21.16,16.41,0,0,15.97,0,1.58,0,0,8.75,2.83,0,1.26,0,0
