stage,eye,glial,mesenchyme,neural,paraxial.mesoderm,pronephros
  7-9,0,0,0,3.52,0,0
 10-12,0,0,0,56.28,7.59,6.85
 24-34,0,0,0.9,0,0,0
 48-58,0.44,0.91,0,0,0,0
 72-82,0,0,0,2.8,0,0
