stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0
  5-6,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.98,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,20.18,0,5.76,0,0,0,0,0,0
 10-12,0,0,0,3.76,0,0,0,4.13,0,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,33.93,0,0,0,3.98,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.25,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0.9,14.08,0.83,0,0.94,0,0,0,0,3.42,3.32,0,0,0
 24-34,0,0,0,0.65,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,12.56,0.6,0,0,0,0,4.18,0,0.61,6.21,0,0,0.79
 36-46,0,0,0,0,0,0,0,3.63,0,0.73,0.96,0,0,0,7.87,0.93,0,0,0,0,0,0,0.69,24.92,0,0,1,0,0,2.87,0,0,3.66,0,0,0
 48-58,0,0,0.46,0,0,0,0,7.36,0,0,1.5,0,0,0,0,5.68,0,0,0,2.5,0,0,0.61,22.44,0,0,2.05,0,0,6.67,0,0,9.05,0,2.89,0
 60-70,0,0,0,0,0,0,0,19.45,0,0,1.55,0,0,0,0,0,1.2,0,0,0,0,0,0,37.09,0,0.67,0,0,0,0.6,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,18.75,0,0,3.84,0.71,0,0,0,0,0,0,0,3.97,0.67,0,1.6,21.71,0,1.09,0,0,0,3.97,2.68,0,0,0,1.79,4.46
 84-94,0,0,0,0,2.19,0,0,18.82,1.04,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,7.82,0,0,0,0,0,0.66,0,0,0,0,2.98,0
 96-106,0,0,0,0,0.56,0,0,16.92,0,0,0,0,0,0,0,0,0,0.61,0.61,2.95,0,0.8,0.61,12.67,0,2.4,1.78,0,1.92,4.89,0,0,0,0,4.62,0
108-118,0,0,0,0,1.21,0,1.87,12.91,0.56,0,0,2.05,0,0,0.56,0,0,0,0,0.55,0,0,0,20.94,0,0,0,0,0,3.89,0,0,0,0.44,0,0
120,0,0,0,0,0,0,0,2.13,0,0,0,1.24,0,1.54,0,0,0,0,0,13.74,0,0,3.01,18.25,0,1.54,0,0,0,1.11,0,0,0,0,0,0
