stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,liver,mesenchyme,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  3-4,45.9,1408.44,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0
  5-6,21.56,451.62,0,0,0,0,0,0,0,54.45,0,0,0,0,0,0,0
  7-9,0,0,7.3,0,7.91,0,0,0,0,36.83,0,26.78,0,0,0,0,0
 10-12,0,0,0,0,3.26,0,0,0,0,5,0,19.23,0,0,0,0,0
 14-21,0,0,0,8.64,0,0,0.84,0,0,1.76,0,0,2.42,1.04,3.65,3.51,0
 24-34,0,0,0,0,0,0,0,1.3,0,4.52,0,0,2.23,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.05,0,0,6.78,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,3.67,0,0,8.64,0,0,0,0
 60-70,0,0,0,0,0,2.99,0,0,0.86,2.83,0,0,9.18,0,0,0,0
 72-82,0,0,0,0,1.46,0,0,0,0,2.31,0,0,8.11,0,0,0,0
 84-94,0,0,0,0,1.55,0,0,0,0,0,0,0,24.72,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,10.35,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,1.63,0,0,5.06,0,0,0,0.47
120,0,0,0,0,0,0,0,0,0,0,3.34,0,9.19,0,0,0,0
