stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,47.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0,0,0,0,0,0
  5-6,25.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.74,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62,0,0,0,7.6,0,31.05,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87,0,0,0,4.1,0,22.84,0,0,0,0,0,0,0,0
 14-21,0,0,2.93,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,2.7,4.88,0,0,1.32,0,0,1.54,0.89,0,0.83,5.76,0,0,0,0
 24-34,0,0,3.51,0.68,0,0.79,0,2.51,0,0,0,1.75,22.62,0.72,0,0,0.77,1.05,0,0,0,22.27,0,0.62,2.83,0,3.21,0.93,0,0,0,4.06,0,0,2.42,6.25
 36-46,0,0,1.24,0,0,1.6,1.81,0,0,0,0,0,44.7,0,0,2.72,21.53,2.6,0,0,0.56,46.36,0,0,8.41,0,0,0,0,0,0,4.59,0,0,0,5.87
 48-58,0,0,2.29,0,0,9.53,0,1.3,0,1.8,0,0.71,45.92,0,1.35,9.18,9.47,5.11,0,0,0.73,78.38,0,1.32,5.21,0,0,0,8.72,1.07,0,3.61,0,0,1.22,19.52
 60-70,0,0,3.84,0,0,16.75,0,1.74,0,4.33,0,0,59.11,0,33.44,10.7,11.24,11.52,0,0,0.67,51.64,0,2.91,15.38,0,0,0,0,0,0,0.88,0,0,0.6,19.06
 72-82,0,0,5.8,0,0,22.29,0,0.93,0,18.19,0.64,0,50.45,0,41.81,3.88,11.68,3.28,0,0.77,0,62.99,0,3.05,31.55,0,0,3.02,1,0,0,4.17,0,0.67,0,18.34
 84-94,0,1.29,7.27,0.87,0,24.21,0,0,1.38,9.06,1.91,0,58.51,0,32.04,5.63,16.02,9.31,0,3.39,1.01,23.78,1.46,10.31,34.85,0,0,5.7,0,0,0,8.44,0,0,0.62,30.69
 96-106,0,0,20.79,3.8,0,13.7,0,0.8,0,19.55,4.39,0,65.86,3.08,40.85,9.36,12.49,11.78,0.68,0.7,2.79,44.57,0,14.88,44.32,0,0,9.91,0,0,0,0,1.14,0,0,37.35
108-118,0,0,31.24,1.98,9.58,9.32,0,3.07,0,37.98,7.87,0,85.9,4.63,61.62,6.91,18.12,14.01,0,1.88,2.52,24.12,0.86,9.85,45.57,0,0,10.38,0,0,0,6.26,0,0.56,5.3,56
120,0,0,35.57,2.18,1.71,6.37,0,0,0,42.58,4.5,2,89.65,0,26.65,1.08,1.79,6.28,0,0,0,54.89,0,19.03,56.38,0,0,7.98,0,0,0,0,0,0,2.95,41.52
